Tadh_TriadT587	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2
Tadh_wf_g9033.t1	GPCRrhod.HG12.67:NA
Tadh_wf_g9032.t1	GPCRrhod.HG12.68:NA
Tadh_TriadT60077	GPCRrhod.HG12.69:NA
Tadh_wf_g9353.t1	GPCRrhod.HG12.7:NA
Tadh_wf_g9034.t1	GPCRrhod.HG12.71:NA
Tadh_TriadT30372	GPCRrhod.HG12.72:NA
Tadh_wf_g11194.t1	GPCRrhod.HG12.76:NA
Tadh_TriadT62094	GPCRrhod.HG12.77:NA
Tadh_TriadT62095	GPCRrhod.HG12.77:NA
Tadh_wf_g5489.t1	GPCRrhod.HG12.8:NA
Tadh_wf_g11193.t1	GPCRrhod.HG12.82:NA
Tadh_TriadT62093	GPCRrhod.HG12.83:NA
Tadh_wf_g4262.t1	GPCRrhod.HG12.84:NA
Tadh_wf_g5530.t1	GPCRrhod.HG12.89:NA
Tadh_wf_g8532.t1	GPCRrhod.HG12.9:NA
Tadh_wf_g11192.t1	GPCRrhod.HG12.96:NA
Tadh_TriadT52708	GPCRrhod.HG122.0:NA
Tadh_TriadT57256	GPCRrhod.HG122.1:NA
Tadh_TriadT56127	GPCRrhod.HG131.0:NA
Tadh_TriadT54063	GPCRrhod.HG131.1:NA
Tadh_wf_g3692.t1	GPCRrhod.HG137.0:NA
Tadh_TriadT60796	GPCRrhod.HG156.0:NA
Tadh_TriadT15553	GPCRrhod.HG16.0:RXFP1/RXFP2
Tadh_TriadT24941	GPCRrhod.HG16.0:RXFP1/RXFP2
Tadh_TriadT30388	GPCRrhod.HG16.0:RXFP1/RXFP2
Tadh_wf_g4875.t1	GPCRrhod.HG162.0:NA
Tadh_TriadT62239	GPCRrhod.HG166.0:NA
Tadh_wf_g11346.t1	GPCRrhod.HG166.1:NA
Tadh_TriadT57377	GPCRrhod.HG169.0:NA
Tadh_wf_g2794.t1	GPCRrhod.HG170.0:NA
Tadh_TriadT54207	GPCRrhod.HG171.0:NA
Tadh_TriadT54417	GPCRrhod.HG173.0:NA
Tadh_TriadT56569	GPCRrhod.HG181.0:NA
Tadh_TriadT57447	GPCRrhod.HG184.0:NA
Tadh_wf_g2050.t1	GPCRrhod.HG189.0:NA
Tadh_wf_g4961.t1	GPCRrhod.HG190.0:NA
Tadh_TriadT60881	GPCRrhod.HG191.0:NA
Tadh_TriadT18299	GPCRrhod.HG2.13:like:GPR19/GPR176
Tadh_TriadT15389	GPCRrhod.HG2.2:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
Tadh_TriadT18468	GPCRrhod.HG2.3:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
Tadh_TriadT51389	GPCRrhod.HG2.3:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
Tadh_TriadT57337	GPCRrhod.HG2.3:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
Tadh_TriadT7261	GPCRrhod.HG2.3:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
Tadh_wf_g9813.t1	GPCRrhod.HG2.3:like:CCKAR/CCKBR/GHSR/GPR19/GPR39/GPR83/GPR176/HCRTR1/HCRTR2/MLNR/NMUR1/NMUR2/NPFFR1/NPFFR2/NPY1R/NPY2R/NPY4R/NPY4R2/NPY5R/NTSR1/NTSR2/PRLHR/PROKR1/PROKR2/QRFPR/TACR1/TACR2/TACR3/TRHR
Tadh_TriadT4556	GPCRrhod.HG2.42:like:NPFFR1/NPFFR2
Tadh_TriadT59678	GPCRrhod.HG2.43:like:NPFFR1/NPFFR2
Tadh_TriadT14770	GPCRrhod.HG2.44:like:NPFFR1/NPFFR2
Tadh_TriadT3154	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
Tadh_TriadT32926	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
Tadh_TriadT5049	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
Tadh_TriadT51534	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
Tadh_TriadT56543	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
Tadh_TriadT62222	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
Tadh_TriadT61975	GPCRrhod.HG2.46:like:NPFFR1/NPFFR2
Tadh_TriadT58248	GPCRrhod.HG2.47:like:NPFFR1/NPFFR2
Tadh_TriadT4311	GPCRrhod.HG2.48:like:NPFFR1/NPFFR2
Tadh_TriadT56070	GPCRrhod.HG2.49:like:NPFFR1/NPFFR2
Tadh_TriadT59520	GPCRrhod.HG2.50:like:NPFFR1/NPFFR2
Tadh_TriadT16798	GPCRrhod.HG2.51:like:NPFFR1/NPFFR2
Tadh_wf_g2185.t1	GPCRrhod.HG2.52:like:NPFFR1/NPFFR2
Tadh_TriadT57576	GPCRrhod.HG2.53:like:NPFFR1/NPFFR2
Tadh_TriadT57365	GPCRrhod.HG2.54:like:NPFFR1/NPFFR2
Tadh_wf_g6224.t1	GPCRrhod.HG2.55:like:NPFFR1/NPFFR2
Tadh_TriadT57366	GPCRrhod.HG2.56:like:NPFFR1/NPFFR2
Tadh_TriadT55121	GPCRrhod.HG22.0:NA
Tadh_TriadT60495	GPCRrhod.HG22.1:NA
Tadh_TriadT15639	GPCRrhod.HG22.10:NA
Tadh_TriadT31783	GPCRrhod.HG22.11:NA
Tadh_TriadT56600	GPCRrhod.HG22.13:NA
Tadh_TriadT56630	GPCRrhod.HG22.14:NA
Tadh_TriadT15610	GPCRrhod.HG22.15:NA
Tadh_TriadT18128	GPCRrhod.HG22.16:NA
Tadh_TriadT32194	GPCRrhod.HG22.16:NA
Tadh_TriadT61684	GPCRrhod.HG22.19:NA
Tadh_TriadT32302	GPCRrhod.HG22.2:NA
Tadh_TriadT32658	GPCRrhod.HG22.20:NA
Tadh_TriadT56441	GPCRrhod.HG22.20:NA
Tadh_wf_g10589.t1	GPCRrhod.HG22.20:NA
Tadh_wf_g11867.t1	GPCRrhod.HG22.20:NA
Tadh_wf_g10748.t1	GPCRrhod.HG22.23:NA
Tadh_TriadT15334	GPCRrhod.HG22.25:NA
Tadh_TriadT53796	GPCRrhod.HG22.26:NA
Tadh_TriadT53794	GPCRrhod.HG22.27:NA
Tadh_TriadT17025	GPCRrhod.HG22.28:NA
Tadh_TriadT1135	GPCRrhod.HG22.29:NA
Tadh_TriadT14559	GPCRrhod.HG22.30:NA
Tadh_TriadT733	GPCRrhod.HG22.32:NA
Tadh_wf_g11270.t1	GPCRrhod.HG22.33:NA
Tadh_wf_g12088.t1	GPCRrhod.HG22.33:NA
Tadh_TriadT54151	GPCRrhod.HG22.34:NA
Tadh_TriadT15646	GPCRrhod.HG22.35:NA
Tadh_TriadT60578	GPCRrhod.HG22.36:NA
Tadh_TriadT21318	GPCRrhod.HG22.38:NA
Tadh_TriadT12560	GPCRrhod.HG22.39:NA
Tadh_TriadT51798	GPCRrhod.HG22.4:NA
Tadh_TriadT62195	GPCRrhod.HG22.40:NA
Tadh_TriadT34852	GPCRrhod.HG22.41:NA
Tadh_TriadT60613	GPCRrhod.HG22.42:NA
Tadh_TriadT31042	GPCRrhod.HG22.43:NA
Tadh_TriadT62192	GPCRrhod.HG22.45:NA
Tadh_TriadT3740	GPCRrhod.HG22.46:NA
Tadh_TriadT3737	GPCRrhod.HG22.47:NA
Tadh_TriadT33361	GPCRrhod.HG22.48:NA
Tadh_TriadT20600	GPCRrhod.HG22.49:NA
Tadh_TriadT51796	GPCRrhod.HG22.5:NA
Tadh_TriadT21335	GPCRrhod.HG22.50:NA
Tadh_TriadT62168	GPCRrhod.HG22.53:NA
Tadh_TriadT33371	GPCRrhod.HG22.55:NA
Tadh_TriadT33357	GPCRrhod.HG22.56:NA
Tadh_TriadT32666	GPCRrhod.HG22.6:NA
Tadh_TriadT32714	GPCRrhod.HG22.6:NA
Tadh_TriadT18229	GPCRrhod.HG22.67:NA
Tadh_TriadT62166	GPCRrhod.HG22.69:NA
Tadh_TriadT19985	GPCRrhod.HG22.7:NA
Tadh_TriadT30238	GPCRrhod.HG22.71:NA
Tadh_TriadT38210	GPCRrhod.HG22.72:NA
Tadh_TriadT32301	GPCRrhod.HG22.8:NA
Tadh_TriadT34350	GPCRrhod.HG22.8:NA
Tadh_TriadT4321	GPCRrhod.HG22.8:NA
Tadh_TriadT61227	GPCRrhod.HG22.8:NA
Tadh_TriadT52023	GPCRrhod.HG25.1:NA
Tadh_TriadT52024	GPCRrhod.HG25.1:NA
Tadh_TriadT52540	GPCRrhod.HG25.1:NA
Tadh_TriadT52598	GPCRrhod.HG25.1:NA
Tadh_TriadT52955	GPCRrhod.HG25.1:NA
Tadh_TriadT52957	GPCRrhod.HG25.1:NA
Tadh_TriadT53317	GPCRrhod.HG25.1:NA
Tadh_TriadT53318	GPCRrhod.HG25.1:NA
Tadh_TriadT54000	GPCRrhod.HG25.1:NA
Tadh_TriadT54038	GPCRrhod.HG25.1:NA
Tadh_TriadT54039	GPCRrhod.HG25.1:NA
Tadh_TriadT54040	GPCRrhod.HG25.1:NA
Tadh_TriadT55330	GPCRrhod.HG25.1:NA
Tadh_TriadT55503	GPCRrhod.HG25.1:NA
Tadh_TriadT55504	GPCRrhod.HG25.1:NA
Tadh_TriadT55873	GPCRrhod.HG25.1:NA
Tadh_TriadT55874	GPCRrhod.HG25.1:NA
Tadh_TriadT55923	GPCRrhod.HG25.1:NA
Tadh_TriadT55924	GPCRrhod.HG25.1:NA
Tadh_TriadT56815	GPCRrhod.HG25.1:NA
Tadh_TriadT59518	GPCRrhod.HG25.1:NA
Tadh_TriadT59519	GPCRrhod.HG25.1:NA
Tadh_TriadT60381	GPCRrhod.HG25.1:NA
Tadh_TriadT60382	GPCRrhod.HG25.1:NA
Tadh_TriadT62137	GPCRrhod.HG25.1:NA
Tadh_TriadT62216	GPCRrhod.HG25.1:NA
Tadh_TriadT6910	GPCRrhod.HG25.1:NA
Tadh_TriadT8380	GPCRrhod.HG25.1:NA
Tadh_wf_g11242.t1	GPCRrhod.HG25.1:NA
Tadh_wf_g4285.t1	GPCRrhod.HG25.1:NA
Tadh_wf_g4286.t1	GPCRrhod.HG25.1:NA
Tadh_wf_g4290.t1	GPCRrhod.HG25.1:NA
Tadh_wf_g775.t1	GPCRrhod.HG25.1:NA
Tadh_wf_g776.t1	GPCRrhod.HG25.1:NA
Tadh_TriadT15459	GPCRrhod.HG29.0:NA
Tadh_TriadT21782	GPCRrhod.HG29.0:NA
Tadh_TriadT29004	GPCRrhod.HG29.0:NA
Tadh_TriadT29133	GPCRrhod.HG29.0:NA
Tadh_TriadT5190	GPCRrhod.HG29.0:NA
Tadh_TriadT55368	GPCRrhod.HG29.0:NA
Tadh_TriadT58721	GPCRrhod.HG29.0:NA
Tadh_TriadT58722	GPCRrhod.HG29.0:NA
Tadh_TriadT58723	GPCRrhod.HG29.0:NA
Tadh_TriadT58724	GPCRrhod.HG29.0:NA
Tadh_TriadT58725	GPCRrhod.HG29.0:NA
Tadh_TriadT59248	GPCRrhod.HG29.0:NA
Tadh_wf_g7220.t1	GPCRrhod.HG29.0:NA
Tadh_wf_g7610.t1	GPCRrhod.HG29.0:NA
Tadh_wf_g7613.t1	GPCRrhod.HG29.0:NA
Tadh_TriadT25957	GPCRrhod.HG29.1:NA
Tadh_wf_g412.t1	GPCRrhod.HG29.10:NA
Tadh_wf_g420.t1	GPCRrhod.HG29.11:NA
Tadh_wf_g8334.t1	GPCRrhod.HG29.12:NA
Tadh_TriadT29616	GPCRrhod.HG29.13:NA
Tadh_TriadT61932	GPCRrhod.HG29.18:NA
Tadh_TriadT11163	GPCRrhod.HG29.19:NA
Tadh_TriadT7431	GPCRrhod.HG29.2:NA
Tadh_wf_g11625.t1	GPCRrhod.HG29.21:NA
Tadh_TriadT29468	GPCRrhod.HG29.22:NA
Tadh_TriadT34175	GPCRrhod.HG29.22:NA
Tadh_TriadT51671	GPCRrhod.HG29.24:NA
Tadh_TriadT51670	GPCRrhod.HG29.25:NA
Tadh_wf_g8345.t1	GPCRrhod.HG29.26:NA
Tadh_wf_g11624.t1	GPCRrhod.HG29.27:NA
Tadh_TriadT29682	GPCRrhod.HG29.28:NA
Tadh_wf_g322.t1	GPCRrhod.HG29.3:NA
Tadh_wf_g8332.t1	GPCRrhod.HG29.31:NA
Tadh_wf_g8457.t1	GPCRrhod.HG29.32:NA
Tadh_wf_g11623.t1	GPCRrhod.HG29.35:NA
Tadh_wf_g11462.t1	GPCRrhod.HG29.36:NA
Tadh_wf_g11463.t1	GPCRrhod.HG29.37:NA
Tadh_TriadT62528	GPCRrhod.HG29.38:NA
Tadh_wf_g417.t1	GPCRrhod.HG29.4:NA
Tadh_TriadT59425	GPCRrhod.HG29.40:NA
Tadh_TriadT29642	GPCRrhod.HG29.41:NA
Tadh_wf_g11461.t1	GPCRrhod.HG29.42:NA
Tadh_wf_g416.t1	GPCRrhod.HG29.5:NA
Tadh_TriadT51667	GPCRrhod.HG29.6:NA
Tadh_TriadT51668	GPCRrhod.HG29.7:NA
Tadh_TriadT51669	GPCRrhod.HG29.8:NA
Tadh_TriadT51672	GPCRrhod.HG29.9:NA
Tadh_wf_g3896.t1	GPCRrhod.HG32.0:NA
Tadh_wf_g3081.t1	GPCRrhod.HG32.1:NA
Tadh_TriadT33142	GPCRrhod.HG32.10:NA
Tadh_TriadT59452	GPCRrhod.HG32.11:NA
Tadh_wf_g11502.t1	GPCRrhod.HG32.12:NA
Tadh_TriadT56753	GPCRrhod.HG32.13:NA
Tadh_wf_g11496.t1	GPCRrhod.HG32.14:NA
Tadh_TriadT61883	GPCRrhod.HG32.15:NA
Tadh_TriadT61884	GPCRrhod.HG32.16:NA
Tadh_wf_g10961.t1	GPCRrhod.HG32.17:NA
Tadh_wf_g10964.t1	GPCRrhod.HG32.18:NA
Tadh_TriadT59453	GPCRrhod.HG32.19:NA
Tadh_TriadT54303	GPCRrhod.HG32.2:NA
Tadh_TriadT62371	GPCRrhod.HG32.20:NA
Tadh_wf_g11503.t1	GPCRrhod.HG32.21:NA
Tadh_TriadT56808	GPCRrhod.HG32.22:NA
Tadh_TriadT56807	GPCRrhod.HG32.23:NA
Tadh_TriadT3838	GPCRrhod.HG32.24:NA
Tadh_TriadT59454	GPCRrhod.HG32.26:NA
Tadh_TriadT59455	GPCRrhod.HG32.26:NA
Tadh_wf_g8377.t1	GPCRrhod.HG32.26:NA
Tadh_wf_g10958.t1	GPCRrhod.HG32.27:NA
Tadh_wf_g10957.t1	GPCRrhod.HG32.28:NA
Tadh_wf_g11075.t1	GPCRrhod.HG32.29:NA
Tadh_TriadT62235	GPCRrhod.HG32.3:NA
Tadh_wf_g8379.t1	GPCRrhod.HG32.30:NA
Tadh_wf_g8380.t1	GPCRrhod.HG32.31:NA
Tadh_TriadT62370	GPCRrhod.HG32.32:NA
Tadh_wf_g11499.t1	GPCRrhod.HG32.33:NA
Tadh_TriadT62369	GPCRrhod.HG32.34:NA
Tadh_wf_g4836.t1	GPCRrhod.HG32.36:NA
Tadh_wf_g4835.t1	GPCRrhod.HG32.38:NA
Tadh_wf_g10251.t1	GPCRrhod.HG32.4:NA
Tadh_TriadT3775	GPCRrhod.HG32.5:NA
Tadh_wf_g10960.t1	GPCRrhod.HG32.6:NA
Tadh_wf_g11074.t1	GPCRrhod.HG32.7:NA
Tadh_TriadT55138	GPCRrhod.HG32.8:NA
Tadh_wf_g10959.t1	GPCRrhod.HG32.9:NA
Tadh_TriadT60312	GPCRrhod.HG34.1:NA
Tadh_TriadT60282	GPCRrhod.HG34.12:NA
Tadh_TriadT60281	GPCRrhod.HG34.13:NA
Tadh_TriadT58809	GPCRrhod.HG34.16:NA
Tadh_wf_g9283.t1	GPCRrhod.HG34.17:NA
Tadh_wf_g11711.t1	GPCRrhod.HG34.18:NA
Tadh_wf_g693.t1	GPCRrhod.HG34.18:NA
Tadh_wf_g694.t1	GPCRrhod.HG34.18:NA
Tadh_wf_g11737.t1	GPCRrhod.HG34.19:NA
Tadh_wf_g2727.t1	GPCRrhod.HG34.19:NA
Tadh_wf_g2728.t1	GPCRrhod.HG34.19:NA
Tadh_wf_g2729.t1	GPCRrhod.HG34.19:NA
Tadh_wf_g9551.t1	GPCRrhod.HG34.19:NA
Tadh_TriadT60311	GPCRrhod.HG34.2:NA
Tadh_wf_g3888.t1	GPCRrhod.HG34.21:NA
Tadh_wf_g3889.t1	GPCRrhod.HG34.21:NA
Tadh_wf_g9285.t1	GPCRrhod.HG34.21:NA
Tadh_wf_g9286.t1	GPCRrhod.HG34.21:NA
Tadh_wf_g9287.t1	GPCRrhod.HG34.21:NA
Tadh_wf_g692.t1	GPCRrhod.HG34.22:NA
Tadh_wf_g691.t1	GPCRrhod.HG34.23:NA
Tadh_wf_g8888.t1	GPCRrhod.HG34.24:NA
Tadh_wf_g8899.t1	GPCRrhod.HG34.25:NA
Tadh_wf_g3890.t1	GPCRrhod.HG34.26:NA
Tadh_wf_g8889.t1	GPCRrhod.HG34.27:NA
Tadh_TriadT57020	GPCRrhod.HG34.28:NA
Tadh_wf_g9284.t1	GPCRrhod.HG34.30:NA
Tadh_wf_g3891.t1	GPCRrhod.HG34.31:NA
Tadh_wf_g8.t1	GPCRrhod.HG34.4:NA
Tadh_TriadT60310	GPCRrhod.HG34.6:NA
Tadh_wf_g11252.t1	GPCRrhod.HG34.7:NA
Tadh_TriadT61857	GPCRrhod.HG36.0:NA
Tadh_TriadT59294	GPCRrhod.HG36.1:NA
Tadh_wf_g4960.t1	GPCRrhod.HG36.11:NA
Tadh_TriadT56181	GPCRrhod.HG36.12:NA
Tadh_wf_g4954.t1	GPCRrhod.HG36.13:NA
Tadh_TriadT56394	GPCRrhod.HG36.14:NA
Tadh_wf_g4959.t1	GPCRrhod.HG36.16:NA
Tadh_wf_g7333.t1	GPCRrhod.HG36.17:NA
Tadh_wf_g11933.t1	GPCRrhod.HG36.18:NA
Tadh_wf_g11959.t1	GPCRrhod.HG36.18:NA
Tadh_wf_g12090.t1	GPCRrhod.HG36.18:NA
Tadh_wf_g7334.t1	GPCRrhod.HG36.18:NA
Tadh_TriadT52250	GPCRrhod.HG36.19:NA
Tadh_TriadT56128	GPCRrhod.HG36.2:NA
Tadh_TriadT56182	GPCRrhod.HG36.20:NA
Tadh_wf_g11497.t1	GPCRrhod.HG36.20:NA
Tadh_wf_g996.t1	GPCRrhod.HG36.21:NA
Tadh_TriadT52251	GPCRrhod.HG36.22:NA
Tadh_wf_g1039.t1	GPCRrhod.HG36.23:NA
Tadh_TriadT52294	GPCRrhod.HG36.24:NA
Tadh_TriadT52295	GPCRrhod.HG36.25:NA
Tadh_TriadT60377	GPCRrhod.HG36.26:NA
Tadh_wf_g5016.t1	GPCRrhod.HG36.28:NA
Tadh_wf_g8589.t1	GPCRrhod.HG36.3:NA
Tadh_wf_g4958.t1	GPCRrhod.HG36.30:NA
Tadh_wf_g4956.t1	GPCRrhod.HG36.31:NA
Tadh_wf_g4955.t1	GPCRrhod.HG36.32:NA
Tadh_TriadT59637	GPCRrhod.HG36.4:NA
Tadh_wf_g3901.t1	GPCRrhod.HG36.7:NA
Tadh_wf_g3902.t1	GPCRrhod.HG36.8:NA
Tadh_TriadT56855	GPCRrhod.HG36.9:NA
Tadh_wf_g8197.t1	GPCRrhod.HG37.10:NA
Tadh_wf_g8201.t1	GPCRrhod.HG37.11:NA
Tadh_wf_g11922.t1	GPCRrhod.HG37.13:NA
Tadh_wf_g8195.t1	GPCRrhod.HG37.14:NA
Tadh_TriadT34883	GPCRrhod.HG37.15:NA
Tadh_wf_g11698.t1	GPCRrhod.HG37.15:NA
Tadh_wf_g11872.t1	GPCRrhod.HG37.15:NA
Tadh_wf_g8198.t1	GPCRrhod.HG37.15:NA
Tadh_wf_g8196.t1	GPCRrhod.HG37.16:NA
Tadh_wf_g11348.t1	GPCRrhod.HG37.18:NA
Tadh_wf_g8194.t1	GPCRrhod.HG37.2:NA
Tadh_TriadT61725	GPCRrhod.HG37.21:NA
Tadh_wf_g10792.t1	GPCRrhod.HG37.21:NA
Tadh_TriadT61729	GPCRrhod.HG37.22:NA
Tadh_wf_g10800.t1	GPCRrhod.HG37.24:NA
Tadh_wf_g10808.t1	GPCRrhod.HG37.25:NA
Tadh_wf_g10799.t1	GPCRrhod.HG37.26:NA
Tadh_wf_g10807.t1	GPCRrhod.HG37.26:NA
Tadh_wf_g10798.t1	GPCRrhod.HG37.27:NA
Tadh_wf_g11350.t1	GPCRrhod.HG37.28:NA
Tadh_wf_g11349.t1	GPCRrhod.HG37.3:NA
Tadh_wf_g10797.t1	GPCRrhod.HG37.35:NA
Tadh_wf_g11494.t1	GPCRrhod.HG37.4:NA
Tadh_wf_g11495.t1	GPCRrhod.HG37.5:NA
Tadh_wf_g8199.t1	GPCRrhod.HG37.6:NA
Tadh_wf_g8200.t1	GPCRrhod.HG37.6:NA
Tadh_wf_g8202.t1	GPCRrhod.HG37.7:NA
Tadh_wf_g11493.t1	GPCRrhod.HG37.8:NA
Tadh_wf_g11351.t1	GPCRrhod.HG37.9:NA
Tadh_TriadT12963	GPCRrhod.HG38.2:FSHR/LHCGR/TSHR
Tadh_TriadT19201	GPCRrhod.HG38.2:FSHR/LHCGR/TSHR
Tadh_TriadT58786	GPCRrhod.HG39.0:like:PTGDR/PTGER1/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/TBXA2R
Tadh_TriadT51529	GPCRrhod.HG39.5:like:PTGDR/PTGER1/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/TBXA2R
Tadh_TriadT51874	GPCRrhod.HG39.8:like:PTGDR/PTGER1/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/TBXA2R
Tadh_wf_g5353.t1	GPCRrhod.HG41.0:NA
Tadh_TriadT58589	GPCRrhod.HG41.1:NA
Tadh_TriadT58576	GPCRrhod.HG41.10:NA
Tadh_wf_g7472.t1	GPCRrhod.HG41.11:NA
Tadh_TriadT28157	GPCRrhod.HG41.12:NA
Tadh_TriadT58578	GPCRrhod.HG41.13:NA
Tadh_wf_g7457.t1	GPCRrhod.HG41.13:NA
Tadh_TriadT951	GPCRrhod.HG41.14:NA
Tadh_TriadT58590	GPCRrhod.HG41.15:NA
Tadh_TriadT15129	GPCRrhod.HG41.16:NA
Tadh_TriadT4017	GPCRrhod.HG41.17:NA
Tadh_TriadT9679	GPCRrhod.HG41.17:NA
Tadh_TriadT6397	GPCRrhod.HG41.2:NA
Tadh_TriadT4346	GPCRrhod.HG41.3:NA
Tadh_TriadT53361	GPCRrhod.HG41.3:NA
Tadh_TriadT53362	GPCRrhod.HG41.3:NA
Tadh_TriadT58699	GPCRrhod.HG41.3:NA
Tadh_TriadT58712	GPCRrhod.HG41.3:NA
Tadh_TriadT61553	GPCRrhod.HG41.3:NA
Tadh_TriadT62841	GPCRrhod.HG41.3:NA
Tadh_wf_g2117.t1	GPCRrhod.HG41.3:NA
Tadh_wf_g2118.t1	GPCRrhod.HG41.3:NA
Tadh_TriadT58557	GPCRrhod.HG41.4:NA
Tadh_TriadT58559	GPCRrhod.HG41.5:NA
Tadh_TriadT5735	GPCRrhod.HG41.6:NA
Tadh_TriadT53608	GPCRrhod.HG41.7:NA
Tadh_TriadT28334	GPCRrhod.HG41.9:NA
Tadh_wf_g5126.t1	GPCRrhod.HG45.0:NA
Tadh_wf_g4863.t1	GPCRrhod.HG45.1:NA
Tadh_TriadT56035	GPCRrhod.HG45.10:NA
Tadh_wf_g11651.t1	GPCRrhod.HG45.10:NA
Tadh_wf_g11700.t1	GPCRrhod.HG45.10:NA
Tadh_wf_g4844.t1	GPCRrhod.HG45.10:NA
Tadh_wf_g10455.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10456.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10457.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10458.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10459.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10460.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10461.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10462.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10676.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10677.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10678.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10679.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10680.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g10681.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g11748.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g11749.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g11851.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g12092.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g12213.t1	GPCRrhod.HG45.11:NA
Tadh_wf_g4877.t1	GPCRrhod.HG45.2:NA
Tadh_TriadT56053	GPCRrhod.HG45.3:NA
Tadh_wf_g4866.t1	GPCRrhod.HG45.4:NA
Tadh_wf_g10594.t1	GPCRrhod.HG45.5:NA
Tadh_wf_g10595.t1	GPCRrhod.HG45.5:NA
Tadh_TriadT5463	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
Tadh_TriadT60646	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
Tadh_TriadT62230	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
Tadh_TriadT7464	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
Tadh_TriadT14401	GPCRrhod.HG51.0:NA
Tadh_TriadT36385	GPCRrhod.HG51.0:NA
Tadh_TriadT51521	GPCRrhod.HG51.0:NA
Tadh_TriadT54513	GPCRrhod.HG51.0:NA
Tadh_TriadT56177	GPCRrhod.HG51.0:NA
Tadh_TriadT58991	GPCRrhod.HG51.0:NA
Tadh_TriadT58992	GPCRrhod.HG51.0:NA
Tadh_TriadT58993	GPCRrhod.HG51.0:NA
Tadh_TriadT59342	GPCRrhod.HG51.0:NA
Tadh_TriadT59369	GPCRrhod.HG51.0:NA
Tadh_TriadT59370	GPCRrhod.HG51.0:NA
Tadh_TriadT61584	GPCRrhod.HG51.0:NA
Tadh_TriadT7315	GPCRrhod.HG51.0:NA
Tadh_wf_g10642.t1	GPCRrhod.HG51.0:NA
