lipophil	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_1	unknown_2.1	unknown_2.2	unknown_2.3	unknown_2.4	fibre	trans_fibre_gland	trans_fibre_epithelia	gland_1	epithelia_gland_like	epithelia_unknown_1	epithelia_ventral	trans_epithelia_ventral_peptidergic	trans_epithelia_dorsal_ventral	epithelia_dorsal_like	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_001441	160	8	12	2	19	8	23	8	27	251	2	15	127	46	9	129	9	40	106	67	5	15	9	3	1	7	4	4	13	8	27	8	6	5	4	7	2	2
TrH2_TrispH2_001444	140	1	6	4	18	4	13	1	27	120	0	5	94	51	3	106	3	19	48	57	11	11	8	2	2	6	6	4	9	4	18	8	15	2	1	7	11	1
TrH2_TrispH2_001447	119	2	7	2	17	3	7	1	26	98	4	0	90	20	1	96	3	19	50	49	3	10	6	3	2	5	4	7	5	4	10	3	5	6	6	4	1	1
TrH2_TrispH2_001448	79	0	0	5	13	10	16	4	11	39	0	0	38	9	0	61	2	1	17	56	0	11	10	0	4	3	4	0	11	0	20	0	15	2	0	0	4	6
TrH2_TrispH2_001450	91	1	5	3	20	3	9	0	13	82	0	4	66	28	4	73	1	8	31	37	3	8	4	5	0	5	3	5	7	4	10	9	5	3	2	7	2	2
TrH2_TrispH2_001453	74	1	3	4	11	5	10	0	13	108	0	2	56	23	1	57	4	15	20	28	3	9	4	2	0	1	1	3	3	2	6	3	6	2	1	0	0	0
TrH2_TrispH2_001455	1987	35	79	22	295	92	218	98	358	1532	28	47	1452	512	15	1467	61	205	590	825	79	161	103	47	15	54	63	65	138	38	205	94	132	39	70	59	68	46
TrH2_TrispH2_001457	72	4	2	0	13	4	18	2	12	62	0	2	42	16	3	49	1	13	27	25	2	3	2	2	0	3	1	5	1	3	10	2	4	1	3	6	1	0
TrH2_TrispH2_001459	112	1	0	5	11	9	5	2	31	74	1	2	99	26	7	52	3	6	44	58	2	3	10	1	0	1	2	1	4	2	10	7	10	2	2	12	6	3
TrH2_TrispH2_001461	8	0	0	1	1	1	0	0	2	6	0	0	6	0	0	8	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
TrH2_TrispH2_001462	41	0	1	0	4	4	2	0	3	16	0	1	24	8	0	21	1	2	3	14	2	5	0	1	0	1	0	0	3	0	1	0	3	0	1	0	1	0
TrH2_TrispH2_001464	47	3	3	0	10	3	6	3	9	57	0	2	29	7	0	32	2	6	15	13	1	3	3	0	0	1	2	1	4	3	1	4	2	1	0	0	2	0
TrH2_TrispH2_001466	42	2	2	0	6	0	3	1	12	54	1	4	47	12	1	45	0	4	29	23	1	7	4	1	0	0	0	2	2	5	5	5	4	0	3	2	5	0
TrH2_TrispH2_001467	7	0	0	0	1	0	1	0	1	5	0	1	2	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
TrH2_TrispH2_001469	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_001471	266	4	8	2	33	13	23	7	45	249	2	21	209	60	11	185	10	33	97	89	7	8	17	9	6	4	2	5	12	8	23	12	6	2	1	3	5	1
TrH2_orphan_178	2	0	0	3	3	0	0	0	0	4	0	0	0	0	0	3	0	0	0	2	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
TrH2_TrispH2_001476	92	0	0	7	21	2	4	7	13	44	0	0	56	11	1	72	0	0	11	54	6	8	4	1	2	1	1	0	6	6	11	0	8	0	5	2	5	2
TrH2_TrispH2_001479	28	0	1	0	0	2	4	1	6	34	0	0	23	8	1	23	0	4	19	8	3	3	12	0	1	2	0	0	5	0	3	0	3	0	0	1	1	1
TrH2_TrispH2_001480	304	7	10	2	45	16	36	19	57	238	6	8	258	89	2	219	7	39	96	109	17	29	24	7	5	16	10	6	13	7	31	18	20	12	13	5	17	11
TrH2_TrispH2_001481	33	1	0	1	8	0	5	2	7	34	0	0	39	16	1	28	1	6	17	16	1	4	0	1	0	1	2	0	2	1	9	1	1	0	0	0	1	0
TrH2_TrispH2_001483	26	0	0	0	5	3	12	0	5	15	0	1	24	10	1	26	0	3	7	17	1	0	4	0	1	0	0	0	1	2	4	3	1	0	0	0	0	0
TrH2_TrispH2_001484	21	0	0	3	8	4	1	4	1	38	0	0	2	0	0	34	2	1	1	13	0	3	3	0	7	6	1	1	3	0	10	0	3	0	0	0	0	0
TrH2_TrispH2_001486	40	0	3	1	6	2	2	1	4	40	0	0	23	9	0	34	1	4	19	13	1	0	2	0	0	3	0	0	1	0	0	0	0	0	0	1	1	0
TrH2_TrispH2_001487	48	2	2	1	8	1	2	3	4	47	0	1	33	13	0	26	2	5	22	11	1	3	1	1	1	2	1	1	2	2	6	3	3	2	3	3	0	0
TrH2_TrispH2_001489	168	4	9	1	28	3	12	3	29	224	1	12	123	49	5	140	7	20	75	66	6	10	10	2	3	4	4	6	11	4	14	8	7	3	4	7	7	1
TrH2_TrispH2_001491	278	13	14	5	52	18	36	12	38	297	3	12	186	73	3	218	12	49	105	117	8	19	11	3	5	14	10	4	20	6	18	12	18	13	8	12	1	2
TrH2_TrispH2_001363	77	1	2	0	9	2	5	5	11	102	1	0	57	24	1	39	0	12	39	22	2	8	2	0	1	2	1	1	9	1	8	0	10	4	1	5	1	0
TrH2_TrispH2_001364	87	2	7	2	10	4	9	2	15	74	2	3	63	20	0	80	2	12	27	52	1	6	7	4	0	1	5	2	4	5	10	3	6	1	1	2	1	1
TrH2_TrispH2_001367	123	9	3	1	14	6	10	3	16	217	4	16	64	22	3	91	3	26	93	47	1	7	8	0	1	2	3	4	12	1	7	2	5	6	3	2	1	1
TrH2_TrispH2_001368	107	2	5	0	14	4	11	3	17	71	0	0	69	22	2	52	2	6	19	39	3	11	6	3	3	2	0	3	8	1	6	5	4	2	2	1	2	1
TrH2_TrispH2_001369	95	1	7	2	8	4	11	3	13	97	0	5	71	23	0	72	2	12	41	44	3	4	4	2	2	3	4	2	2	1	14	4	4	2	4	2	3	0
TrH2_TrispH2_001371	279	6	15	1	40	10	31	14	38	220	1	3	208	80	4	202	2	30	77	110	11	22	10	4	0	5	10	7	16	8	27	11	13	7	9	11	12	10
TrH2_TrispH2_001373	234	5	6	5	30	7	22	6	30	195	1	4	146	59	6	154	1	23	67	85	11	19	17	7	2	6	5	8	16	2	12	5	16	9	4	9	6	0
TrH2_TrispH2_001375	318	14	16	4	44	12	37	10	39	251	6	5	208	68	7	205	9	39	96	128	12	30	16	14	5	11	8	13	16	6	32	10	22	10	13	13	13	4
TrH2_TrispH2_001377	169	5	3	1	22	10	16	8	27	125	2	5	97	50	3	123	5	21	46	71	8	19	5	4	2	8	6	11	11	2	22	11	12	5	2	5	2	2
TrH2_TrispH2_001379	54	0	1	1	12	2	11	2	12	63	1	2	22	21	1	37	1	11	20	23	3	5	3	2	4	1	2	3	1	1	6	3	4	3	6	3	1	3
TrH2_TrispH2_001380	84	3	16	0	15	3	12	2	18	105	1	3	68	29	0	69	4	13	46	38	6	7	2	0	2	6	2	3	4	1	2	3	5	2	1	1	2	2
TrH2_TrispH2_001382	156	4	7	1	18	3	23	4	24	133	1	8	93	38	1	94	5	17	61	60	8	7	13	2	3	3	2	5	6	2	5	3	9	6	3	6	5	2
TrH2_TrispH2_001383	36	0	2	1	3	2	2	1	7	43	0	0	24	10	0	24	1	3	14	14	0	2	2	1	0	2	2	1	0	0	7	1	1	0	1	1	0	0
TrH2_TrispH2_001384	101	2	3	0	11	7	13	13	16	119	0	7	70	27	0	69	2	12	43	31	5	12	11	6	1	4	3	3	7	1	5	3	7	1	3	6	4	0
TrH2_TrispH2_001386	184	6	6	2	27	5	18	3	29	156	1	7	125	42	1	118	4	19	50	53	9	7	10	1	3	6	3	2	11	5	12	10	8	5	4	7	3	1
TrH2_TrispH2_001388	127	6	4	2	22	9	20	4	25	158	0	5	88	35	2	106	5	22	63	59	4	9	7	6	1	4	4	5	12	4	19	3	9	3	1	7	3	0
TrH2_TrispH2_001389	83	2	4	3	7	9	5	4	10	77	2	0	49	17	0	48	1	11	35	29	2	6	7	0	4	5	3	2	5	1	7	0	5	2	2	4	1	0
TrH2_TrispH2_001391	33	2	0	0	8	1	3	1	2	19	1	1	17	6	0	20	2	2	9	7	2	3	3	1	0	1	1	0	1	0	2	1	2	1	0	2	3	0
TrH2_TrispH2_001392	32	1	0	0	3	0	3	1	3	28	0	2	17	8	0	18	1	1	11	5	0	1	4	1	0	0	2	0	2	0	2	1	2	0	2	1	0	0
TrH2_TrispH2_001394	41	4	1	0	2	0	2	1	3	40	0	0	13	5	0	17	1	1	10	21	1	2	1	3	0	0	1	1	3	0	0	3	2	0	0	2	1	0
TrH2_TrispH2_001396	61	3	7	1	7	0	6	4	11	50	1	4	43	19	2	58	0	6	15	26	1	2	5	4	0	0	3	2	3	1	7	1	2	3	2	2	0	1
TrH2_TrispH2_001397	60	3	1	2	7	1	9	5	17	69	0	0	55	22	0	56	0	12	19	31	0	1	5	0	0	0	4	0	8	1	11	2	6	1	0	1	0	0
TrH2_orphan_179	5	0	0	0	0	0	0	0	1	4	0	0	1	0	0	3	0	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_001400	51	2	1	0	5	2	2	1	4	28	0	0	25	8	0	30	1	1	12	14	3	2	1	0	0	0	1	1	3	0	4	2	2	0	1	0	0	0
TrH2_TrispH2_001402	9	2	0	0	0	0	1	2	3	26	0	0	7	0	0	10	2	6	10	3	0	0	1	1	0	0	0	1	4	0	2	0	1	1	0	0	0	0
TrH2_TrispH2_001404	200	8	14	3	44	9	34	13	36	254	4	6	137	51	6	169	8	33	101	78	5	11	9	2	4	11	4	4	13	8	21	10	13	3	5	9	9	4
TrH2_TrispH2_001405	45	2	1	1	6	6	8	1	9	62	1	3	28	11	0	53	0	8	38	11	0	6	3	1	1	0	2	3	1	0	3	3	1	2	0	3	0	0
TrH2_TrispH2_001406	8834	286	449	86	1403	424	1066	402	1417	9137	105	417	6489	2369	126	6808	243	1111	3747	3686	354	685	563	225	109	275	243	272	530	197	818	339	490	187	287	306	265	122
TrH2_TrispH2_001407	13	0	3	1	5	1	4	1	2	16	0	0	10	1	1	14	0	2	6	4	0	2	1	0	1	0	0	1	0	1	0	0	5	0	0	0	1	0
TrH2_TrispH2_001411	31	0	2	1	6	2	2	1	5	36	0	2	20	12	0	31	0	3	10	24	1	2	3	3	0	3	0	0	4	0	7	1	3	0	1	0	4	0
TrH2_TrispH2_001416	10	0	1	0	2	0	1	0	2	8	0	0	9	3	0	8	0	2	3	4	5	1	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0
TrH2_TrispH2_001417	910	18	48	12	166	55	131	34	157	800	11	40	712	252	15	746	30	95	317	406	46	79	55	20	13	40	24	16	54	26	91	62	67	35	31	33	17	10
TrH2_TrispH2_001419	59	2	3	4	14	1	10	3	7	59	0	2	53	15	0	44	2	7	22	20	6	1	3	2	2	2	2	1	6	2	4	1	1	2	3	1	1	0
TrH2_TrispH2_001422	22	4	0	1	3	4	2	3	3	35	1	6	22	5	0	26	1	5	20	15	1	7	1	0	0	0	0	1	1	1	3	0	1	1	2	0	1	0
TrH2_TrispH2_001425	97	1	5	5	15	1	12	2	29	92	0	1	76	33	0	97	4	9	24	40	2	10	11	0	4	1	2	2	7	4	10	6	7	1	4	6	5	1
TrH2_TrispH2_001427	55	5	4	1	7	4	5	3	10	71	0	4	42	12	1	47	0	4	11	25	0	8	2	2	1	5	0	1	6	3	4	1	6	4	2	1	6	2
TrH2_TrispH2_001428	39	1	1	0	3	0	8	1	13	25	0	1	44	12	3	27	2	0	8	16	1	2	2	10	0	10	0	1	2	1	3	6	3	0	3	2	0	0
TrH2_TrispH2_001429	14	0	7	1	10	27	0	0	16	13	0	1	10	2	0	14	0	1	15	7	0	7	0	2	0	0	0	0	1	2	0	0	0	0	0	1	0	0
TrH2_TrispH2_001430	35	1	6	1	2	13	6	3	16	48	0	3	28	16	1	43	3	6	24	19	2	6	4	2	0	2	2	1	3	2	6	0	3	3	1	1	1	0
TrH2_orphan_180	18	1	4	0	4	1	4	1	5	10	2	1	15	6	0	17	0	0	11	13	1	2	6	1	0	1	0	3	4	0	1	1	2	2	1	0	1	0
TrH2_TrispH2_001433	141	1	4	5	23	8	14	4	32	113	0	5	105	45	2	114	1	18	30	68	7	14	4	9	0	3	5	2	9	1	9	7	8	8	2	2	4	4
TrH2_TrispH2_001435	47	1	3	5	7	3	5	4	6	37	0	2	32	12	1	26	1	3	12	19	5	1	2	1	3	4	1	1	2	2	3	0	6	1	5	1	1	0
TrH2_TrispH2_001437	73	2	4	1	12	4	5	6	10	85	0	8	57	16	0	56	4	12	40	25	4	9	5	2	1	2	2	3	5	0	2	3	3	3	0	2	2	1
TrH2_TrispH2_001439	41	0	1	0	4	1	5	0	10	55	0	3	23	9	0	37	4	7	28	21	0	2	2	1	0	2	0	1	4	0	6	0	1	2	1	2	0	1
TrH2_TrispH2_001440	154	1	8	1	22	7	17	9	30	199	2	11	90	49	3	138	2	21	59	55	8	8	7	2	6	4	4	0	10	4	12	4	7	2	6	8	3	3
TrH2_TrispH2_001442	70	0	1	4	7	3	7	2	9	61	0	1	46	21	3	45	1	1	16	25	3	2	5	2	1	2	1	0	3	2	7	5	2	3	2	1	0	0
TrH2_TrispH2_001443	62	1	2	1	9	1	11	1	15	53	0	2	57	28	0	60	1	3	9	26	2	7	6	3	0	1	2	0	7	0	10	3	3	2	0	1	0	2
TrH2_TrispH2_001445	170	4	4	1	28	10	27	5	20	105	0	2	105	28	1	95	4	12	35	54	7	14	15	5	1	1	8	3	9	1	13	8	11	0	8	4	3	3
TrH2_TrispH2_001446	2169	94	138	62	359	128	265	95	383	2164	36	83	1700	592	34	1712	78	277	940	894	82	174	108	57	26	92	73	67	157	57	184	84	138	60	50	73	48	29
TrH2_TrispH2_001449	428	2	16	0	63	19	52	20	70	396	4	11	327	111	6	324	8	42	152	175	13	20	21	11	6	17	18	17	24	13	41	15	25	11	9	24	13	5
TrH2_TrispH2_001451	86	2	9	4	16	6	16	6	16	61	0	1	80	25	2	88	3	10	35	44	2	10	2	2	0	2	1	6	10	1	12	3	5	1	2	3	2	1
TrH2_TrispH2_001452	318	15	10	6	30	16	24	8	25	435	5	26	172	58	7	190	10	41	175	96	9	9	20	2	6	4	6	11	10	1	12	13	13	9	1	15	10	7
TrH2_TrispH2_001454	44	0	0	0	10	1	5	3	3	34	0	1	37	9	1	23	2	8	15	22	0	4	5	1	0	1	1	1	4	1	5	2	3	1	2	0	1	1
TrH2_orphan_181	23	0	0	0	8	0	0	0	2	14	0	0	12	12	0	16	2	2	5	9	0	5	2	0	0	0	1	1	1	0	3	0	0	0	0	1	1	2
TrH2_orphan_182	1	0	0	0	1	0	0	1	0	4	0	0	1	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TrH2_TrispH2_001456	682	24	31	12	124	41	84	24	131	667	6	18	488	169	12	547	13	54	211	269	26	67	39	25	19	29	26	9	45	17	69	27	51	13	27	31	18	11
TrH2_TrispH2_001458	80	1	3	2	7	4	10	2	21	68	0	5	55	18	2	52	2	9	41	19	0	5	5	1	1	0	1	0	0	2	8	5	7	1	7	13	0	0
TrH2_TrispH2_001460	65	0	1	1	11	2	11	0	15	73	1	2	38	15	1	47	2	10	32	29	3	5	4	0	1	3	3	1	6	2	14	3	6	3	4	3	1	3
TrH2_orphan_183	4	0	0	0	1	1	0	0	0	5	0	0	7	3	0	8	0	1	0	1	0	0	3	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_001463	406	10	19	8	57	19	43	19	56	397	5	16	308	104	4	285	12	68	160	165	14	33	27	13	5	19	13	7	26	16	33	21	26	8	12	7	6	5
TrH2_TrispH2_001465	61	1	7	0	7	1	7	0	7	55	1	1	39	12	0	44	0	10	21	17	2	4	7	0	2	3	1	1	3	0	6	3	2	2	2	3	1	2
TrH2_orphan_184	3	0	0	0	3	0	1	0	4	9	0	0	5	5	0	7	0	0	2	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TrH2_TrispH2_001468	55	3	2	1	8	0	6	3	12	66	0	0	36	11	0	41	2	4	20	15	0	2	1	0	0	2	0	1	5	0	6	3	2	0	0	3	3	3
TrH2_TrispH2_001470	118	3	10	2	16	5	10	3	16	132	0	3	81	24	3	65	4	14	46	48	0	6	8	3	1	8	6	2	7	2	9	2	5	6	3	3	6	3
TrH2_TrispH2_001472	4585	107	200	72	708	247	590	207	768	3985	90	136	3374	1131	82	3568	114	520	1619	1778	189	341	321	116	68	205	123	123	332	129	446	219	305	114	183	166	115	48
TrH2_TrispH2_001473	79	0	1	0	12	3	10	4	11	79	1	0	67	18	1	50	1	14	32	26	5	4	8	1	1	3	3	1	4	1	10	8	1	0	3	4	4	1
TrH2_TrispH2_001474	20	0	0	8	7	0	2	3	4	24	0	0	4	7	0	41	1	0	4	15	0	10	8	0	7	6	4	0	6	0	8	0	1	0	0	0	0	0
TrH2_TrispH2_001475	225	0	2	29	33	11	40	32	42	154	0	0	217	37	3	296	5	18	46	130	5	13	23	5	21	39	9	5	20	4	56	5	22	4	4	11	7	13
TrH2_TrispH2_001477	147	2	0	2	25	6	17	8	23	177	3	3	105	45	2	105	5	28	58	71	7	6	17	4	3	8	2	6	15	3	9	9	7	1	11	8	5	2
TrH2_TrispH2_001478	97	1	1	1	14	4	8	4	19	91	0	7	49	17	2	67	7	14	33	30	2	6	8	3	3	2	3	2	3	4	8	4	8	2	2	4	2	0
TrH2_TrispH2_001482	59	1	4	0	8	2	12	5	12	61	1	3	45	28	3	59	0	3	26	17	3	9	6	1	0	2	2	2	4	1	0	3	8	0	5	2	2	2
TrH2_TrispH2_001485	237	6	7	3	28	12	27	8	27	242	5	12	154	63	4	164	7	31	114	91	9	21	14	2	2	13	10	6	10	4	20	5	17	10	5	9	2	2
TrH2_TrispH2_001488	212	6	9	6	27	14	31	12	48	211	1	5	139	63	5	158	6	30	75	84	12	20	5	2	7	8	7	5	7	3	15	9	13	6	6	4	2	3
TrH2_TrispH2_001490	128	5	12	5	33	6	18	8	37	190	1	5	106	48	2	137	7	23	79	79	10	22	6	2	0	5	8	1	12	1	15	1	15	11	10	4	2	2
TrH2_orphan_185	11	0	5	0	1	1	0	0	1	17	0	1	8	0	1	9	2	5	7	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TrH2_TrispH2_001492	3559	87	165	67	565	164	455	144	561	2809	58	95	2660	932	27	2673	92	390	1087	1430	142	275	231	111	60	127	98	88	216	95	369	163	194	94	147	148	89	48
TrH2_TrispH2_001493	5674	142	344	82	849	242	709	261	876	5623	69	215	3963	1488	64	4171	205	724	2393	2277	231	445	335	161	77	191	160	157	352	123	441	265	291	141	195	180	119	79
TrH2_orphan_187	28	2	4	0	3	3	1	0	1	35	0	4	11	6	0	12	2	8	20	11	0	1	0	0	0	3	0	0	1	0	5	0	1	0	1	1	0	0
TrH2_TrispH2_001674	68	2	16	1	8	3	3	1	4	115	0	12	18	17	0	43	6	19	81	13	1	2	3	0	0	1	3	2	4	0	2	1	4	0	1	3	1	2
TrH2_TrispH2_001677	75	3	5	1	14	1	7	1	11	88	0	4	57	23	0	65	0	13	36	38	5	9	4	1	2	1	3	3	4	2	5	3	6	2	5	4	4	1
TrH2_TrispH2_001678	34	2	2	2	10	0	4	2	11	40	0	1	29	6	0	27	3	7	16	14	0	9	0	2	4	0	0	1	0	1	4	1	0	1	4	4	1	1
TrH2_TrispH2_001679	31	2	5	0	6	1	2	2	9	40	0	1	27	8	1	22	2	8	33	8	3	2	0	1	0	4	0	2	1	1	8	1	2	1	0	1	0	0
TrH2_TrispH2_001681	111	6	3	0	16	5	17	5	26	110	1	6	83	23	2	81	2	10	34	40	3	6	6	4	1	1	7	3	8	2	7	1	2	1	3	6	6	4
TrH2_TrispH2_001683	1083	17	63	17	210	51	139	72	234	750	14	15	945	337	20	894	38	131	265	542	60	89	42	35	8	47	25	58	86	22	112	40	64	21	19	39	38	29
TrH2_TrispH2_001684	129	7	1	10	19	3	15	5	16	115	0	1	95	31	0	106	4	8	37	80	13	12	23	2	4	5	4	2	10	7	17	3	13	1	5	6	7	3
TrH2_TrispH2_001688	27	1	2	1	6	1	4	1	6	29	1	0	20	12	2	26	0	2	8	16	2	1	3	1	2	1	2	0	1	0	3	1	1	0	1	1	1	0
TrH2_TrispH2_001690	119	2	9	4	23	1	16	7	16	99	0	1	90	34	1	101	2	21	35	62	2	12	6	5	0	6	3	7	10	3	9	4	5	6	1	4	3	4
TrH2_TrispH2_001692	2	0	0	0	1	1	0	0	4	2	0	0	1	0	0	7	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0
TrH2_TrispH2_001695	41	0	3	1	3	2	9	0	4	52	0	0	43	16	1	25	3	2	16	22	6	4	1	0	1	0	1	0	2	0	2	0	2	0	1	1	0	0
TrH2_TrispH2_001700	29	0	3	1	4	1	2	0	5	17	0	1	18	6	0	18	1	2	8	7	0	2	1	2	0	0	0	0	1	1	4	3	1	0	2	1	0	1
TrH2_TrispH2_001702	138	4	5	3	9	7	20	4	21	141	2	14	89	30	2	96	8	12	52	49	4	14	15	6	1	3	4	5	11	2	6	6	10	13	2	8	1	1
TrH2_TrispH2_001709	55	2	1	1	2	1	6	3	7	50	0	3	41	11	0	32	3	10	22	20	3	4	2	4	1	3	0	0	1	1	5	1	1	2	0	1	0	0
TrH2_TrispH2_001712	124	2	5	3	15	5	18	2	28	112	4	4	81	37	3	66	4	14	42	43	2	13	7	3	4	4	0	5	9	6	6	0	5	3	6	4	3	3
TrH2_TrispH2_001715	574	27	41	13	101	29	65	23	89	589	7	31	426	152	12	442	18	70	220	237	19	42	44	17	12	22	17	13	44	6	62	33	24	13	27	16	9	6
TrH2_TrispH2_001716	418	13	24	14	73	18	60	23	74	453	6	29	336	115	6	379	22	77	164	209	13	29	25	17	4	20	18	18	29	8	43	20	34	13	13	24	19	5
TrH2_TrispH2_001718	5080	279	177	28	451	151	505	115	506	8944	71	560	2893	950	103	3277	123	1026	2725	1629	104	298	346	23	77	111	104	170	203	48	238	182	134	147	72	198	109	64
TrH2_TrispH2_001719	148	4	7	1	12	7	11	4	14	247	2	11	103	28	3	100	6	32	71	49	6	8	6	1	2	4	5	6	10	2	8	3	8	4	7	12	6	3
TrH2_TrispH2_001721	81	1	2	1	9	2	9	2	17	58	1	2	60	18	0	38	3	13	18	26	3	6	7	0	1	1	0	1	3	1	5	1	1	3	5	2	2	1
TrH2_TrispH2_001722	36	4	5	1	7	0	8	0	13	25	0	0	24	15	0	23	0	7	21	14	0	2	1	0	0	2	2	0	4	1	6	0	5	0	2	1	2	0
TrH2_TrispH2_001723	20	0	2	0	4	0	3	1	1	16	0	2	12	3	0	14	4	3	4	11	0	1	1	1	0	0	0	1	0	0	2	2	0	1	0	0	0	1
TrH2_TrispH2_001725	102	3	5	5	11	5	7	3	23	127	1	8	70	21	3	95	6	19	41	56	0	7	7	1	2	8	1	3	5	1	12	6	9	6	5	1	2	1
TrH2_orphan_188	13	1	1	0	0	2	0	0	7	7	0	0	12	4	0	5	0	2	3	2	0	0	0	0	0	0	1	0	3	1	0	1	1	0	1	0	0	0
TrH2_TrispH2_001727	41	0	1	0	5	2	1	5	11	28	0	0	33	18	0	35	1	3	9	18	5	4	0	1	0	0	0	1	4	2	8	2	5	2	3	1	1	0
TrH2_TrispH2_001728	54	1	0	0	6	3	10	0	5	76	0	0	43	13	0	43	2	7	19	20	5	0	0	1	1	0	2	2	3	0	11	1	1	4	1	0	0	0
TrH2_orphan_189	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_orphan_190	13	0	0	0	3	0	1	0	1	1	0	1	0	2	0	7	0	0	5	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
TrH2_TrispH2_001731	172	3	14	1	16	7	18	7	26	221	3	8	117	32	7	103	9	25	77	66	3	14	12	2	1	8	4	2	6	0	15	8	10	5	4	5	3	1
TrH2_TrispH2_001732	69	1	3	0	3	8	7	8	4	40	1	1	39	22	1	48	0	9	21	28	5	10	2	2	1	1	1	0	6	0	11	5	1	1	1	5	1	0
TrH2_TrispH2_001734	64	2	3	2	9	1	10	4	9	64	3	2	38	14	0	42	4	6	22	24	4	11	1	6	5	2	4	2	3	1	5	3	6	0	2	1	2	2
TrH2_orphan_191	105	4	11	1	20	6	9	4	15	135	2	12	74	28	3	80	6	15	58	43	6	12	6	1	2	5	3	3	8	1	14	10	10	3	0	5	0	1
TrH2_TrispH2_001735	259	2	19	3	34	6	21	14	37	260	2	9	170	67	0	191	7	42	89	126	7	23	12	8	3	9	8	7	23	6	20	6	16	5	4	10	5	3
TrH2_TrispH2_001737	219	4	3	10	41	11	16	9	34	136	0	5	124	70	4	188	6	13	51	93	4	10	26	4	3	8	8	3	14	2	16	13	27	3	5	4	11	6
TrH2_TrispH2_001739	10	1	1	0	1	0	1	0	0	11	1	0	4	1	0	4	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
TrH2_TrispH2_001741	69	1	1	0	13	2	12	6	11	92	1	3	65	23	1	65	3	13	44	34	0	7	5	0	0	4	2	3	9	1	9	6	5	2	3	1	3	1
TrH2_TrispH2_001742	110	3	9	2	17	5	20	8	23	110	1	7	85	25	1	94	5	23	58	58	3	11	9	2	1	3	7	1	7	2	11	8	8	4	1	2	6	2
TrH2_TrispH2_001745	12	0	0	0	1	0	1	1	0	15	0	0	4	1	0	7	0	10	4	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
TrH2_TrispH2_001753	244	4	9	2	33	7	26	9	42	225	1	14	154	54	3	161	13	29	74	93	10	16	18	2	5	9	4	4	12	7	27	11	12	11	3	6	5	5
TrH2_TrispH2_001755	53	0	3	2	9	2	2	0	5	51	1	0	34	14	0	43	1	11	31	21	3	1	2	3	2	2	3	3	4	3	2	2	3	1	4	1	1	2
TrH2_TrispH2_001757	57	0	4	0	9	3	7	0	13	74	0	2	39	16	1	49	4	12	29	29	3	6	3	2	1	2	2	1	2	0	7	0	7	0	4	1	0	2
TrH2_TrispH2_001759	198	8	9	3	32	9	17	8	28	192	2	12	141	48	0	169	5	27	69	73	7	13	11	3	2	13	6	4	16	5	20	12	11	6	5	1	3	1
TrH2_TrispH2_001761	638	18	23	13	88	30	89	12	84	580	9	26	490	133	9	429	13	57	201	242	18	56	48	19	10	15	20	19	25	16	52	42	35	13	24	24	13	4
TrH2_orphan_192	5	0	0	0	0	1	1	0	1	4	0	0	7	2	0	5	2	0	2	3	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
TrH2_orphan_193	6	0	0	0	2	0	0	0	1	5	0	3	5	1	0	4	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
TrH2_TrispH2_001769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
