lipophil	trans	unknown_1	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
TrH2_TrispH2_002038	21	4	0	8	22	11	2	25	19
TrH2_TrispH2_002040	2	0	0	0	1	2	2	0	1
TrH2_TrispH2_002041	13	1	0	3	7	7	3	16	10
TrH2_TrispH2_002043	21	8	9	15	36	31	11	58	16
TrH2_TrispH2_002045	89	20	14	35	68	62	16	156	72
TrH2_TrispH2_002049	85	20	21	38	59	77	26	146	66
TrH2_TrispH2_002050	19	4	5	10	15	24	2	25	15
TrH2_TrispH2_002051	108	17	21	50	89	88	20	135	69
TrH2_TrispH2_002052	33	11	13	32	31	33	9	82	37
TrH2_orphan_149	37	5	0	17	16	53	11	66	28
TrH2_TrispH2_002054	74	41	13	33	110	66	18	161	72
TrH2_TrispH2_002055	18	7	4	5	22	15	8	35	24
TrH2_TrispH2_002058	77	18	8	18	55	44	12	100	45
TrH2_TrispH2_002061	77	17	9	28	55	52	17	92	50
TrH2_TrispH2_002063	90	18	12	25	92	48	12	123	55
TrH2_TrispH2_002064	93	19	14	21	71	56	20	131	76
TrH2_TrispH2_002066	71	20	10	25	69	66	18	121	47
TrH2_TrispH2_002068	321	112	36	123	243	172	69	435	215
TrH2_orphan_150	6	0	1	1	7	2	0	5	6
TrH2_TrispH2_002070	506	329	59	144	1009	309	129	949	268
TrH2_orphan_151	24	5	1	12	11	10	3	24	11
TrH2_TrispH2_002075	101	38	9	35	125	57	18	174	70
TrH2_orphan_152	89	12	8	38	43	56	26	122	64
TrH2_TrispH2_002076	518	78	47	168	306	239	103	616	322
TrH2_TrispH2_002077	113	23	11	46	124	77	27	147	65
TrH2_TrispH2_002079	809	302	142	283	995	537	218	1394	567
TrH2_TrispH2_002081	178	54	24	60	171	106	37	267	109
TrH2_TrispH2_002082	46	9	4	15	25	15	11	44	19
TrH2_orphan_153	58	22	13	26	75	59	16	112	38
TrH2_TrispH2_002084	17	3	8	18	13	19	10	39	38
TrH2_TrispH2_002089	1	0	0	0	0	0	1	4	1
TrH2_TrispH2_002090	6	0	2	0	1	4	1	2	3
TrH2_TrispH2_002093	5	0	0	2	2	3	0	7	2
TrH2_TrispH2_001947	6	0	1	4	7	5	2	10	3
TrH2_TrispH2_001948	15	1	2	5	16	17	13	27	12
TrH2_TrispH2_001949	19	7	4	9	16	15	3	35	16
TrH2_TrispH2_001950	55	13	7	19	33	50	17	61	29
TrH2_TrispH2_001954	98	19	17	43	92	61	22	172	82
TrH2_TrispH2_001955	305	80	54	100	326	187	69	443	201
TrH2_TrispH2_001956	48	10	12	18	59	30	20	73	44
TrH2_TrispH2_001958	58	20	9	24	45	42	9	103	40
TrH2_TrispH2_001959	175	84	33	78	267	126	45	388	168
TrH2_TrispH2_001961	54	19	8	20	62	32	13	89	26
TrH2_orphan_154	3	0	0	1	1	2	1	5	0
TrH2_TrispH2_001964	81	16	11	22	55	58	14	134	72
TrH2_TrispH2_001968	429	140	53	145	449	312	127	705	330
TrH2_TrispH2_001969	60	27	14	18	63	43	18	118	54
TrH2_TrispH2_001972	62	8	2	24	61	36	14	90	35
TrH2_TrispH2_001973	924	260	124	315	929	598	207	1316	616
TrH2_TrispH2_001974	8	2	1	2	12	3	5	21	9
TrH2_TrispH2_001975	63	13	13	17	48	21	10	75	32
TrH2_TrispH2_001977	102	26	17	39	100	57	16	162	61
TrH2_orphan_155	67	7	7	20	19	35	14	55	32
TrH2_TrispH2_001980	135	46	19	55	173	100	27	248	99
TrH2_TrispH2_001982	51	10	12	20	42	30	8	88	39
TrH2_TrispH2_001983	22	5	4	10	24	21	4	45	18
TrH2_TrispH2_001984	23	10	1	4	25	21	5	37	13
TrH2_TrispH2_001985	41	21	5	20	60	34	18	72	42
TrH2_TrispH2_001987	3	0	0	0	3	1	1	3	2
TrH2_TrispH2_001990	98	20	12	30	95	60	20	134	71
TrH2_TrispH2_001993	1760	511	305	653	1559	1291	466	2596	1229
TrH2_TrispH2_001996	108	20	13	26	72	48	17	122	55
TrH2_TrispH2_001998	133	46	21	55	137	87	34	201	71
TrH2_TrispH2_002002	84	26	9	21	66	46	16	129	52
TrH2_TrispH2_002003	13	1	2	4	10	4	2	15	4
TrH2_TrispH2_002005	105	26	12	25	89	80	23	164	70
TrH2_TrispH2_002006	366	121	68	144	358	290	91	531	285
TrH2_TrispH2_002008	47	18	4	19	43	34	12	65	30
TrH2_TrispH2_002009	53	18	11	29	83	43	16	103	36
TrH2_TrispH2_002011	77	18	12	32	78	43	12	104	46
TrH2_TrispH2_002017	46	10	8	14	30	30	15	72	28
TrH2_TrispH2_002019	64	21	14	22	63	48	23	115	47
TrH2_TrispH2_002021	369	37	55	196	246	302	70	540	263
TrH2_TrispH2_002023	82	18	12	32	81	46	29	132	78
TrH2_TrispH2_002026	125	22	20	29	124	59	19	166	101
TrH2_TrispH2_002028	48	8	8	23	56	42	5	86	36
TrH2_TrispH2_002030	204	55	31	77	157	150	52	280	123
TrH2_TrispH2_002032	52	14	5	20	48	46	13	64	37
TrH2_TrispH2_002034	615	180	107	290	492	551	211	988	487
TrH2_TrispH2_002035	319	79	51	132	269	224	58	491	235
TrH2_TrispH2_002036	227	84	22	96	260	161	61	434	189
TrH2_orphan_156	5	0	0	1	4	4	2	10	0
TrH2_TrispH2_002042	309	74	43	103	234	238	94	462	218
TrH2_TrispH2_002044	62	10	7	24	62	51	15	97	46
TrH2_TrispH2_002046	466	117	54	175	462	333	99	712	345
TrH2_TrispH2_002047	185	81	24	63	233	114	36	402	78
TrH2_TrispH2_002048	169	41	31	50	144	102	41	252	150
TrH2_TrispH2_002053	69	32	11	34	62	43	16	135	60
TrH2_TrispH2_002056	60	19	12	28	66	51	14	100	43
TrH2_TrispH2_002057	320	89	63	104	253	244	72	433	231
TrH2_TrispH2_002059	1228	555	220	468	1390	913	336	2200	904
TrH2_TrispH2_002060	164	59	31	51	179	127	46	309	127
TrH2_TrispH2_002062	64	19	14	25	73	58	16	107	48
TrH2_TrispH2_002065	1	4	0	1	2	12	3	9	10
TrH2_TrispH2_002067	730	221	122	290	662	528	178	1079	551
TrH2_TrispH2_002069	5	0	0	1	10	3	0	17	4
TrH2_orphan_157	7	7	2	4	17	8	2	15	14
TrH2_TrispH2_002071	43	19	7	15	36	33	16	60	25
TrH2_TrispH2_002072	8	0	6	6	6	4	6	10	10
TrH2_TrispH2_002073	208	44	31	59	191	122	35	301	139
TrH2_TrispH2_002074	462	169	74	150	365	293	117	730	298
TrH2_TrispH2_002078	50	16	12	16	47	30	5	81	29
TrH2_TrispH2_002080	249	85	48	118	295	182	58	400	174
TrH2_TrispH2_002083	109	68	17	47	171	72	34	192	84
TrH2_orphan_158	42	18	9	23	52	23	10	71	37
TrH2_TrispH2_002085	92	28	25	45	103	75	29	181	96
TrH2_TrispH2_002086	17	4	1	15	22	14	1	19	4
TrH2_TrispH2_002087	8	2	3	5	6	11	5	22	6
TrH2_TrispH2_002088	22	5	3	18	22	16	11	46	16
TrH2_orphan_159	13	4	0	3	6	11	10	17	7
TrH2_TrispH2_002092	1	0	2	0	2	2	0	1	1
TrH2_TrispH2_001216	69	28	12	19	88	45	21	125	50
TrH2_TrispH2_001217	1242	500	179	477	1369	777	269	2019	851
TrH2_TrispH2_001218	110	37	17	29	142	72	24	178	61
TrH2_orphan_160	3	0	0	0	2	2	1	3	1
TrH2_TrispH2_001222	1242	293	226	493	1044	934	353	1901	951
TrH2_TrispH2_001225	2	0	1	2	3	0	1	3	5
TrH2_TrispH2_001226	81	14	10	31	104	60	13	132	51
TrH2_orphan_161	11	1	0	3	4	7	3	18	6
TrH2_TrispH2_001228	115	20	11	35	107	65	14	155	65
TrH2_orphan_162	1	1	0	1	0	2	1	1	1
TrH2_TrispH2_001232	124	60	24	41	126	96	37	204	86
TrH2_TrispH2_001234	59	17	14	28	57	36	17	113	54
TrH2_TrispH2_001236	110	34	22	44	96	89	23	156	55
TrH2_TrispH2_001238	43	16	7	19	35	24	15	56	23
TrH2_TrispH2_001240	19	8	4	14	28	22	4	29	24
TrH2_TrispH2_001242	48	19	4	23	60	35	11	73	39
TrH2_TrispH2_001244	130	43	16	63	173	85	33	253	119
TrH2_TrispH2_001246	22	4	2	6	25	15	8	36	21
TrH2_TrispH2_001250	610	172	78	228	666	418	163	912	433
TrH2_orphan_163	31	5	5	10	22	24	5	31	20
TrH2_TrispH2_001251	22	1	2	8	28	20	5	41	19
TrH2_TrispH2_001253	28	8	7	8	36	21	8	54	22
TrH2_TrispH2_001256	53	24	9	17	47	32	17	75	38
TrH2_TrispH2_001257	750	249	106	315	743	533	202	1264	543
TrH2_TrispH2_001258	52	22	6	17	72	47	13	87	41
TrH2_TrispH2_001259	42	19	10	14	62	35	17	72	42
TrH2_TrispH2_001261	27	14	8	12	34	19	7	54	20
TrH2_TrispH2_001264	83	21	13	29	61	53	18	125	69
TrH2_TrispH2_001270	317	80	40	120	295	197	76	416	197
TrH2_TrispH2_001273	1	0	0	0	0	0	0	0	0
TrH2_TrispH2_001275	151	45	16	60	168	114	28	227	106
TrH2_TrispH2_001277	144	64	14	65	197	103	30	242	92
TrH2_TrispH2_001278	149	63	22	67	193	118	39	307	122
TrH2_TrispH2_001281	154	33	18	64	127	111	24	228	120
TrH2_TrispH2_001283	116	23	18	47	95	77	32	160	84
TrH2_TrispH2_001284	156	51	23	88	150	128	46	262	91
TrH2_TrispH2_001286	95	27	14	50	79	66	18	110	60
TrH2_TrispH2_001288	95	32	16	39	124	79	27	165	73
TrH2_TrispH2_001290	22	1	1	8	14	5	4	28	14
TrH2_TrispH2_001292	44	16	5	19	47	26	8	72	39
TrH2_TrispH2_001293	1574	609	226	538	1848	949	315	2696	1021
TrH2_TrispH2_001295	53	12	4	10	32	20	10	70	25
TrH2_TrispH2_001296	115	36	22	52	116	103	26	212	118
TrH2_TrispH2_001299	65	11	11	21	52	52	15	108	45
TrH2_TrispH2_001304	170	52	23	51	153	99	32	276	110
TrH2_TrispH2_001305	29	12	3	11	12	16	7	40	14
TrH2_TrispH2_001307	63	14	7	31	73	48	28	116	42
TrH2_TrispH2_001309	394	81	52	156	339	280	111	622	311
TrH2_orphan_164	1	2	1	1	2	5	1	3	1
TrH2_TrispH2_001311	267	105	43	124	289	208	83	430	193
TrH2_TrispH2_001313	58	18	4	23	55	29	6	77	38
TrH2_TrispH2_001314	95	33	13	37	94	54	26	135	45
TrH2_TrispH2_001316	102	37	12	43	91	78	28	180	68
TrH2_TrispH2_001318	104	38	17	31	127	86	22	209	76
TrH2_TrispH2_001319	21	6	4	10	25	22	9	33	14
TrH2_TrispH2_001322	105	29	12	39	115	90	31	198	82
TrH2_orphan_165	7	1	2	4	1	2	1	5	7
TrH2_TrispH2_001329	149	40	26	54	145	93	41	200	111
TrH2_TrispH2_001332	133	29	16	60	145	107	34	224	107
TrH2_TrispH2_001334	33	9	5	12	35	34	1	53	41
TrH2_TrispH2_001335	16	7	1	6	26	17	6	39	19
TrH2_TrispH2_001336	15	1	2	8	5	7	4	17	11
TrH2_TrispH2_001338	10	0	4	2	6	17	3	7	15
TrH2_TrispH2_001339	98	37	10	35	93	61	24	145	70
TrH2_TrispH2_001341	40	23	4	22	60	41	13	79	29
TrH2_TrispH2_001343	42	12	9	14	35	31	11	62	39
TrH2_TrispH2_001345	537	92	41	161	370	337	146	606	392
TrH2_TrispH2_001346	46	15	8	20	37	33	13	56	26
TrH2_TrispH2_001349	1	0	0	0	1	0	1	1	2
TrH2_TrispH2_001351	45	16	7	13	34	33	13	63	18
TrH2_TrispH2_001353	28	5	2	7	17	20	3	36	9
TrH2_TrispH2_001355	61	11	8	23	60	33	18	106	30
TrH2_orphan_166	0	0	0	0	0	2	0	0	0
TrH2_TrispH2_001357	344	74	42	120	294	213	72	515	240
TrH2_TrispH2_001359	21	5	5	7	19	15	4	35	18
TrH2_TrispH2_001360	217	78	29	111	157	166	51	363	187
TrH2_TrispH2_001212	523	171	65	205	560	382	145	826	291
TrH2_TrispH2_001213	109	48	12	44	176	84	35	189	66
TrH2_TrispH2_001214	70	19	12	28	67	40	14	116	35
TrH2_TrispH2_001215	127	32	18	36	133	83	32	172	50
TrH2_TrispH2_001219	0	0	1	0	0	0	0	1	0
TrH2_orphan_167	17	3	5	3	7	7	3	18	14
TrH2_TrispH2_001220	2	2	1	2	2	5	1	9	3
TrH2_TrispH2_001221	2	1	0	1	0	2	3	2	3
TrH2_TrispH2_001223	272	75	28	125	288	177	40	329	174
TrH2_TrispH2_001224	51	10	9	18	57	29	12	83	27
TrH2_orphan_168	1	0	0	0	1	1	1	3	2
TrH2_TrispH2_001227	98	37	19	42	88	71	21	194	83
TrH2_TrispH2_001229	145	72	21	50	202	134	38	274	80
TrH2_TrispH2_001230	10	4	2	10	17	5	7	24	9
TrH2_TrispH2_001231	345	147	61	159	339	295	97	580	269
TrH2_TrispH2_001233	6580	1781	968	2491	6267	4834	1805	10330	4629
TrH2_TrispH2_001235	138	19	14	41	92	67	28	131	101
TrH2_TrispH2_001237	224	85	24	53	342	95	32	313	108
TrH2_TrispH2_001239	57	12	4	13	32	22	8	55	33
TrH2_TrispH2_001241	57	10	4	17	55	31	8	76	26
TrH2_TrispH2_001243	92	45	13	48	130	94	31	169	84
TrH2_TrispH2_001245	16	4	3	10	24	15	4	30	12
TrH2_TrispH2_001247	848	244	111	304	790	663	211	1361	681
TrH2_TrispH2_001248	606	259	74	246	708	430	167	1043	408
TrH2_TrispH2_001249	6063	1617	893	2170	5589	4279	1572	8917	4271
TrH2_TrispH2_001252	78	29	25	24	74	49	17	119	58
TrH2_TrispH2_001254	427	97	64	177	359	308	104	648	282
TrH2_TrispH2_001255	46	11	4	16	51	19	11	61	24
TrH2_orphan_169	911	252	107	359	804	608	248	1470	688
TrH2_TrispH2_001260	234	68	40	81	193	187	64	390	194
TrH2_TrispH2_001262	587	149	81	241	479	424	155	833	423
TrH2_TrispH2_001263	152	50	31	40	166	95	34	227	124
TrH2_TrispH2_001265	70	15	9	35	65	40	17	87	54
TrH2_TrispH2_001266	29	8	7	11	36	13	9	52	20
TrH2_TrispH2_001267	109	35	26	54	105	101	42	197	100
TrH2_TrispH2_001268	51	16	15	26	45	57	27	87	63
TrH2_orphan_170	27	6	1	12	10	16	10	31	23
TrH2_TrispH2_001269	47	9	8	17	22	20	9	62	33
TrH2_orphan_171	4	0	3	1	5	4	0	12	4
TrH2_TrispH2_001271	129	41	30	53	111	75	20	159	81
TrH2_TrispH2_001274	41	14	9	13	39	22	11	74	35
TrH2_TrispH2_001276	424	120	69	185	350	332	117	668	346
TrH2_TrispH2_001279	153	29	33	78	114	145	42	230	92
TrH2_TrispH2_001280	423	126	51	172	470	333	110	743	325
TrH2_TrispH2_001282	36	7	5	10	39	19	7	50	20
TrH2_TrispH2_001285	300	59	57	123	246	225	100	456	231
TrH2_TrispH2_001287	321	117	44	127	352	209	64	435	216
TrH2_TrispH2_001289	50	12	7	17	32	38	8	65	38
TrH2_TrispH2_001291	21	4	2	14	25	30	6	61	25
TrH2_TrispH2_001294	99	20	12	33	138	73	36	144	83
TrH2_TrispH2_001297	1503	385	194	509	1546	1045	365	2194	959
TrH2_TrispH2_001298	100	41	16	40	121	67	22	179	86
TrH2_TrispH2_001300	43	11	8	7	21	25	13	60	27
TrH2_orphan_172	0	2	0	0	0	0	0	3	1
TrH2_TrispH2_001301	3	0	0	0	0	0	0	1	0
TrH2_TrispH2_001302	120	64	15	35	174	66	22	189	69
TrH2_TrispH2_001303	129	32	15	56	164	110	39	256	86
TrH2_TrispH2_001306	60	14	6	21	66	44	9	99	66
TrH2_TrispH2_001308	56	11	6	21	69	36	10	115	31
TrH2_TrispH2_001310	73	20	10	31	76	55	36	127	74
TrH2_TrispH2_001312	7	2	1	0	12	10	1	12	5
TrH2_TrispH2_001315	105	16	13	41	75	79	26	129	64
TrH2_TrispH2_001317	420	153	63	148	517	311	104	737	319
TrH2_TrispH2_001320	358	99	57	126	339	253	78	524	251
TrH2_TrispH2_001321	34	6	9	14	53	35	19	79	33
TrH2_TrispH2_001323	100	39	7	44	86	70	26	145	60
TrH2_orphan_173	6	1	0	1	1	1	1	7	1
TrH2_TrispH2_001324	40	12	3	6	21	27	4	50	16
TrH2_TrispH2_001325	973	361	113	291	1204	665	230	1466	618
TrH2_TrispH2_001326	153	65	28	57	191	113	31	243	86
TrH2_TrispH2_001327	363	91	38	132	317	228	86	521	234
TrH2_orphan_174	0	1	1	2	0	2	1	3	1
TrH2_TrispH2_001328	192	50	32	74	141	180	61	330	179
TrH2_TrispH2_001330	33	11	5	11	29	18	7	54	17
TrH2_TrispH2_001331	153	33	21	55	148	103	35	215	121
TrH2_TrispH2_001333	48	10	7	12	40	26	15	64	15
TrH2_TrispH2_001337	18	7	5	4	18	10	10	36	19
TrH2_TrispH2_001340	48	14	8	20	55	17	18	61	38
TrH2_TrispH2_001342	31	13	4	12	39	17	6	69	25
TrH2_TrispH2_001344	190	70	22	75	184	145	60	320	145
TrH2_TrispH2_001347	43	6	7	15	25	34	14	61	27
TrH2_TrispH2_001348	107	22	22	38	114	77	25	149	80
TrH2_TrispH2_001350	142	44	23	41	131	108	36	208	93
TrH2_TrispH2_001352	28	9	1	12	27	17	10	61	22
TrH2_TrispH2_001354	4227	1124	673	1555	3793	3210	1187	6372	3028
TrH2_TrispH2_001356	23	0	1	9	14	20	7	35	21
TrH2_TrispH2_001358	145	33	16	51	137	87	40	216	98
TrH2_hyp_clust5670	37	10	3	10	31	29	11	46	15
TrH2_TrispH2_001361	18	8	1	4	7	9	4	29	12
TrH2_TrispH2_001362	137	62	20	54	179	83	36	216	85
TrH2_TrispH2_001365	385	95	52	123	312	231	73	549	251
TrH2_TrispH2_001366	135	57	19	41	173	80	40	186	56
TrH2_orphan_175	20	4	8	14	25	21	5	36	15
TrH2_TrispH2_001370	292	106	32	88	347	181	66	410	210
TrH2_TrispH2_001372	110	39	19	43	100	61	13	181	75
TrH2_TrispH2_001374	160	47	21	64	185	130	40	286	147
TrH2_TrispH2_001376	66	11	9	12	51	56	10	85	40
TrH2_TrispH2_001378	62	27	11	24	69	43	12	105	36
TrH2_TrispH2_001381	174	47	31	66	175	137	54	243	155
TrH2_TrispH2_001385	356	99	53	121	431	272	92	592	261
TrH2_TrispH2_001387	291	102	54	92	275	201	73	469	195
TrH2_orphan_176	2	1	2	2	9	4	3	15	7
TrH2_TrispH2_001390	407	135	51	99	500	266	85	681	260
TrH2_TrispH2_001393	35	13	6	10	28	24	6	52	24
TrH2_TrispH2_001395	43	10	5	7	40	13	12	51	27
TrH2_TrispH2_001398	153	58	16	59	178	125	28	222	91
TrH2_TrispH2_001399	181	48	26	68	156	145	46	283	131
TrH2_TrispH2_001401	103	32	14	42	112	74	35	175	81
TrH2_TrispH2_001403	56	10	14	22	36	37	20	84	25
TrH2_TrispH2_001408	1	0	0	2	2	2	0	1	0
TrH2_TrispH2_001409	78	24	11	28	52	56	21	121	65
TrH2_TrispH2_001410	23	11	1	3	16	8	3	25	7
TrH2_TrispH2_001412	30	13	3	19	41	21	12	64	28
TrH2_TrispH2_001413	1070	243	189	461	625	834	348	1577	847
TrH2_TrispH2_001414	665	158	112	274	417	560	222	1041	486
TrH2_TrispH2_001415	12848	2704	2442	6047	6721	10102	4271	19418	10737
TrH2_TrispH2_001418	854	217	159	351	750	699	244	1339	620
TrH2_TrispH2_001420	55	17	7	22	79	41	11	89	34
TrH2_TrispH2_001421	110	70	9	23	171	79	27	204	82
TrH2_TrispH2_001423	113	60	13	35	141	66	16	185	70
TrH2_TrispH2_001424	8281	9790	99	2203	20135	2527	843	21602	3022
TrH2_TrispH2_001426	56	15	7	14	69	52	9	78	39
TrH2_TrispH2_001431	412	95	59	151	353	282	104	601	322
TrH2_TrispH2_001432	3156	790	518	1358	2203	2488	996	4598	2363
TrH2_TrispH2_001434	177	59	26	62	163	124	45	259	121
TrH2_TrispH2_001436	98	22	12	34	97	45	22	120	63
TrH2_TrispH2_001438	18	3	7	10	15	16	2	24	20
TrH2_orphan_177	10	8	4	6	16	7	7	13	11
TrH2_TrispH2_001441	160	88	19	66	251	127	46	311	130
TrH2_TrispH2_001444	140	38	18	45	120	94	51	214	126
TrH2_TrispH2_001447	119	37	17	37	98	90	20	196	85
TrH2_TrispH2_001448	79	8	13	41	39	38	9	134	90
TrH2_TrispH2_001450	91	22	20	25	82	66	28	145	84
TrH2_TrispH2_001453	74	29	11	28	108	56	23	106	46
TrH2_TrispH2_001455	1987	477	295	766	1532	1452	512	2897	1476
TrH2_TrispH2_001457	72	22	13	36	62	42	16	104	49
TrH2_TrispH2_001459	112	18	11	47	74	99	26	161	78
TrH2_TrispH2_001461	8	1	1	3	6	6	0	11	5
TrH2_TrispH2_001462	41	5	4	9	16	24	8	38	18
TrH2_TrispH2_001464	47	16	10	21	57	29	7	60	28
TrH2_TrispH2_001466	42	13	6	16	54	47	12	98	46
TrH2_TrispH2_001467	7	2	1	2	5	2	0	3	3
TrH2_TrispH2_001469	2	0	0	1	1	1	1	2	0
TrH2_TrispH2_001471	266	80	33	88	249	209	60	382	131
TrH2_orphan_178	2	3	3	0	4	0	0	5	6
TrH2_TrispH2_001476	92	7	21	26	44	56	11	138	68
TrH2_TrispH2_001479	28	5	0	13	34	23	8	51	35
TrH2_TrispH2_001480	304	79	45	128	238	258	89	426	261
TrH2_TrispH2_001481	33	9	8	14	34	39	16	62	24
TrH2_TrispH2_001483	26	4	5	20	15	24	10	51	17
TrH2_TrispH2_001484	21	6	8	10	38	2	0	48	37
TrH2_TrispH2_001486	40	9	6	9	40	23	9	66	9
TrH2_TrispH2_001487	48	13	8	10	47	33	13	59	35
TrH2_TrispH2_001489	168	54	28	47	224	123	49	286	111
TrH2_TrispH2_001491	278	108	52	104	297	186	73	443	184
TrH2_TrispH2_001363	77	16	9	23	102	57	24	101	56
TrH2_TrispH2_001364	87	30	10	30	74	63	20	159	60
TrH2_TrispH2_001367	123	62	14	35	217	64	22	234	66
TrH2_TrispH2_001368	107	15	14	35	71	69	22	112	63
TrH2_TrispH2_001369	95	29	8	31	97	71	23	157	60
TrH2_TrispH2_001371	279	58	40	93	220	208	80	393	193
TrH2_TrispH2_001373	234	45	30	65	195	146	59	312	154
TrH2_TrispH2_001375	318	93	44	98	251	208	68	436	248
TrH2_TrispH2_001377	169	42	22	61	125	97	50	243	137
TrH2_TrispH2_001379	54	17	12	27	63	22	21	81	54
TrH2_TrispH2_001380	84	40	15	35	105	68	29	153	51
TrH2_TrispH2_001382	156	43	18	54	133	93	38	216	90
TrH2_TrispH2_001383	36	7	3	12	43	24	10	52	21
TrH2_TrispH2_001384	101	26	11	49	119	70	27	143	82
TrH2_TrispH2_001386	184	45	27	55	156	125	42	222	107
TrH2_TrispH2_001388	127	44	22	58	158	88	35	230	101
TrH2_TrispH2_001389	83	23	7	28	77	49	17	112	56
TrH2_TrispH2_001391	33	8	8	7	19	17	6	36	23
TrH2_TrispH2_001392	32	5	3	7	28	17	8	34	18
TrH2_TrispH2_001394	41	7	2	6	40	13	5	48	20
TrH2_TrispH2_001396	61	22	7	21	50	43	19	101	39
TrH2_TrispH2_001397	60	18	7	32	69	55	22	106	40
TrH2_orphan_179	5	0	0	1	4	1	0	10	1
TrH2_TrispH2_001400	51	5	5	9	28	25	8	56	20
TrH2_TrispH2_001402	9	10	0	6	26	7	0	23	11
TrH2_TrispH2_001404	200	76	44	92	254	137	51	354	145
TrH2_TrispH2_001405	45	16	6	24	62	28	11	102	29
TrH2_TrispH2_001406	8834	2697	1403	3309	9137	6489	2369	14367	6267
TrH2_TrispH2_001407	13	6	5	8	16	10	1	25	12
TrH2_TrispH2_001411	31	8	6	10	36	20	12	65	32
TrH2_TrispH2_001416	10	3	2	3	8	9	3	15	11
TrH2_TrispH2_001417	910	254	166	377	800	712	252	1484	719
TrH2_TrispH2_001419	59	20	14	21	59	53	15	86	40
TrH2_TrispH2_001422	22	18	3	12	35	22	5	61	20
TrH2_TrispH2_001425	97	25	15	44	92	76	33	161	83
TrH2_TrispH2_001427	55	18	7	22	71	42	12	84	54
TrH2_TrispH2_001428	39	5	3	22	25	44	12	54	46
TrH2_TrispH2_001429	14	10	10	43	13	10	2	36	13
TrH2_TrispH2_001430	35	20	2	38	48	28	16	87	39
TrH2_orphan_180	18	8	4	11	10	15	6	41	26
TrH2_TrispH2_001433	141	34	23	58	113	105	45	214	98
TrH2_TrispH2_001435	47	15	7	18	37	32	12	58	39
TrH2_TrispH2_001437	73	31	12	25	85	57	16	121	49
TrH2_TrispH2_001439	41	15	4	16	55	23	9	86	25
TrH2_TrispH2_001440	154	46	22	63	199	90	49	255	98
TrH2_TrispH2_001442	70	8	7	21	61	46	21	89	41
TrH2_TrispH2_001443	62	10	9	28	53	57	28	95	49
TrH2_TrispH2_001445	170	27	28	62	105	105	28	185	114
TrH2_TrispH2_001446	2169	768	359	871	2164	1700	592	3580	1559
TrH2_TrispH2_001449	428	83	63	161	396	327	111	657	303
TrH2_TrispH2_001451	86	29	16	44	61	80	25	169	65
TrH2_TrispH2_001452	318	113	30	73	435	172	58	468	158
TrH2_TrispH2_001454	44	11	10	12	34	37	9	61	33
TrH2_orphan_181	23	4	8	2	14	12	12	30	17
TrH2_orphan_182	1	0	1	1	4	1	0	6	1
TrH2_TrispH2_001456	682	158	124	280	667	488	169	1039	549
TrH2_TrispH2_001458	80	22	7	37	68	55	18	114	56
TrH2_TrispH2_001460	65	17	11	28	73	38	15	109	65
TrH2_orphan_183	4	1	1	1	5	7	3	9	8
TrH2_TrispH2_001463	406	138	57	137	397	308	104	614	291
TrH2_TrispH2_001465	61	20	7	15	55	39	12	82	44
TrH2_orphan_184	3	0	3	5	9	5	5	11	3
TrH2_TrispH2_001468	55	12	8	21	66	36	11	76	31
TrH2_TrispH2_001470	118	36	16	34	132	81	24	162	80
TrH2_TrispH2_001472	4585	1239	708	1812	3985	3374	1131	7047	3543
TrH2_TrispH2_001473	79	17	12	28	79	67	18	109	62
TrH2_TrispH2_001474	20	9	7	9	24	4	7	60	50
TrH2_TrispH2_001475	225	54	33	125	154	217	37	475	266
TrH2_TrispH2_001477	147	43	25	54	177	105	45	236	123
TrH2_TrispH2_001478	97	31	14	35	91	49	17	132	66
TrH2_TrispH2_001482	59	12	8	31	61	45	28	105	52
TrH2_TrispH2_001485	237	71	28	74	242	154	63	373	161
TrH2_TrispH2_001488	212	63	27	105	211	139	63	322	134
TrH2_TrispH2_001490	128	58	33	69	190	106	48	297	127
TrH2_orphan_185	11	13	1	2	17	8	0	19	3
TrH2_TrispH2_001492	3559	954	565	1324	2809	2660	932	5217	2695
TrH2_TrispH2_001493	5674	1781	849	2088	5623	3963	1488	8905	3943
TrH2_orphan_187	28	20	3	5	35	11	6	43	13
TrH2_TrispH2_001674	68	56	8	11	115	18	17	137	30
TrH2_TrispH2_001677	75	26	14	20	88	57	23	139	64
TrH2_TrispH2_001678	34	17	10	17	40	29	6	57	33
TrH2_TrispH2_001679	31	18	6	14	40	27	8	64	27
TrH2_TrispH2_001681	111	28	16	53	110	83	23	157	71
TrH2_TrispH2_001683	1083	295	210	496	750	945	337	1721	834
TrH2_TrispH2_001684	129	31	19	39	115	95	31	223	137
TrH2_TrispH2_001688	27	7	6	12	29	20	12	52	21
TrH2_TrispH2_001690	119	39	23	40	99	90	34	199	90
TrH2_TrispH2_001692	2	0	1	5	2	1	0	11	4
TrH2_TrispH2_001695	41	9	3	15	52	43	16	64	21
TrH2_TrispH2_001700	29	8	4	8	17	18	6	33	19
TrH2_TrispH2_001702	138	48	9	52	141	89	30	199	112
TrH2_TrispH2_001709	55	20	2	17	50	41	11	74	29
TrH2_TrispH2_001712	124	36	15	53	112	81	37	154	83
