#species_file	protein_name	nb_OG_fused	list_fused_OGs
Mlei.fasta	Mlei_ML0900.g2.i1	3	OG_9429 OG_9430 OG_9431
Hvul.fasta	Hvul_g2843_1	2	OG_9454 OG_9455
Aque.fasta	Aque_Aqu2.1.41204_001	2	OG_9458 OG_9459
Tadh.fasta	Tadh_TriadT63495	2	OG_9487 OG_9488
TrH2.fasta	TrH2_TrispH2_003180-RA	2	OG_9487 OG_9488
Hvul.fasta	Hvul_g7973_1	2	OG_9584 OG_9585
Nvec.fasta	Nvec_v1g222046	2	OG_9626 OG_9627
TrH2.fasta	TrH2_TrispH2_003741-RA	2	OG_9709 OG_9710
Aque.fasta	Aque_Aqu2.1.38148_001	2	OG_9746 OG_9747
Hhon.fasta	Hhon_g06625.t1	2	OG_9784 OG_9785
Hhon.fasta	Hhon_g00669.t1	2	OG_9813 OG_9814
Aque.fasta	Aque_Aqu2.1.09949_001	2	OG_9851 OG_9853
Hvul.fasta	Hvul_g7065_1	2	OG_9867 OG_9868
HoiH23.fasta	HoiH23_PlH23_007464-RA	2	OG_9968 OG_9969
HoiH23.fasta	HoiH23_PlH23_000835-RA	2	OG_10005 OG_10006
Spis.fasta	Spis_XP_022806338_1	2	OG_10075 OG_10076
Nvec.fasta	Nvec_NVE1878	2	OG_10075 OG_10076
Hvul.fasta	Hvul_g25656_1	2	OG_10075 OG_10076
Aque.fasta	Aque_Aqu2.1.33543_001	2	OG_10244 OG_10245
Hvul.fasta	Hvul_g24016_1	2	OG_10254 OG_10256
Mlei.fasta	Mlei_ML0354.g5.i1	2	OG_10274 OG_10275
HoiH23.fasta	HoiH23_PlH23_009219-RA	2	OG_10289 OG_10290
Mlei.fasta	Mlei_ML0732.g19.i1	2	OG_10361 OG_10362
Hvul.fasta	Hvul_g16251_1	2	OG_10453 OG_10454
Aque.fasta	Aque_Aqu2.1.10740_001	2	OG_10457 OG_10458
Dmel.fasta	Dmel_FBtr0089426	2	OG_10601 OG_10602
Mlei.fasta	Mlei_ML0780.g12.i1	2	OG_10681 OG_10682
Hvul.fasta	Hvul_g30832_1	2	OG_10773 OG_10774
Mmus.fasta	Mmus_ENSMUST00000125544	2	OG_10800 OG_10801
Aque.fasta	Aque_Aqu2.1.24919_001	2	OG_10858 OG_10859
Mlei.fasta	Mlei_ML0302.g2.i1	2	OG_10866 OG_10867
Hvul.fasta	Hvul_g10800_1	2	OG_10871 OG_10872
Tadh.fasta	Tadh_TriadT50766	2	OG_10909 OG_10910
Hvul.fasta	Hvul_g15146_1	2	OG_11104 OG_11105
HoiH23.fasta	HoiH23_PlH23_001470-RA	2	OG_11185 OG_11186
Hhon.fasta	Hhon_g05701.t1	2	OG_11192 OG_11195
Hvul.fasta	Hvul_g24621_1	2	OG_11255 OG_11256
