Tadh_TriadG50246	Tadh_TriadT50246
Tadh_TriadG30804	Tadh_TriadT30804
Tadh_TriadG24458	Tadh_TriadT24458
Tadh_TriadG55742	Tadh_TriadT55742
Tadh_TriadG53152	Tadh_TriadT53152
Tadh_TriadG59896	Tadh_TriadT59896
Tadh_TriadG62631	Tadh_TriadT62631
Tadh_TriadG24164	Tadh_TriadT24164
Tadh_TriadG57511	Tadh_TriadT57511
Tadh_TriadG59929	Tadh_TriadT59929
Tadh_TriadG50448	Tadh_TriadT50448
Tadh_TriadG19810	Tadh_TriadT19810
Tadh_TriadG53977	Tadh_TriadT53977
Tadh_TriadG61593	Tadh_TriadT61593
Tadh_TriadG53154	Tadh_TriadT53154
Tadh_TriadG59016	Tadh_TriadT59016
Tadh_TriadG57375	Tadh_TriadT57375
Tadh_TriadG55191	Tadh_TriadT55191
Tadh_TriadG38534	Tadh_TriadT38534
Tadh_TriadG58302	Tadh_TriadT58302
Tadh_TriadG59732	Tadh_TriadT59732
Tadh_TriadG52467	Tadh_TriadT52467
Tadh_TriadG63797	Tadh_TriadT63797
Tadh_TriadG52557	Tadh_TriadT52557
Tadh_TriadG57170	Tadh_TriadT57170
Tadh_TriadG25469	Tadh_TriadT25469
Tadh_wf_g7623	Tadh_wf_g7623.t1
Tadh_TriadG60952	Tadh_TriadT60952
Tadh_TriadG59607	Tadh_TriadT59607
Tadh_wf_g5251	Tadh_wf_g5251.t1
Tadh_TriadG59134	Tadh_TriadT59134
Tadh_TriadG56081	Tadh_TriadT56081
Tadh_TriadG18356	Tadh_TriadT18356
Tadh_orphan_548	Tadh_orphan_548
Tadh_TriadG60765	Tadh_TriadT60765
Tadh_TriadG52329	Tadh_TriadT52329
Tadh_TriadG50537	Tadh_TriadT50537
Tadh_wf_g1371	Tadh_wf_g1371.t1
Tadh_TriadG58662	Tadh_TriadT58662
Tadh_TriadG58131	Tadh_TriadT58131
Tadh_TriadG55354	Tadh_TriadT55354
Tadh_TriadG55512	Tadh_TriadT55512
Tadh_TriadG54660	Tadh_TriadT54660
Tadh_TriadG31080	Tadh_TriadT31080
Tadh_TriadG55749	Tadh_TriadT55749
Tadh_TriadG27169	Tadh_TriadT27169
Tadh_TriadG33212	Tadh_TriadT33212
Tadh_TriadG30839	Tadh_TriadT30839
Tadh_TriadG20807	Tadh_TriadT20807
Tadh_TriadG54480	Tadh_TriadT54480
Tadh_TriadG59176	Tadh_TriadT59176
Tadh_TriadG50604	Tadh_TriadT50604
Tadh_TriadG55669	Tadh_TriadT55669
Tadh_TriadG60464	Tadh_TriadT60464
Tadh_TriadG54198	Tadh_TriadT54198
Tadh_TriadG57212	Tadh_TriadT57212
Tadh_TriadG63243	Tadh_TriadT63243
Tadh_TriadG60218	Tadh_TriadT60218
Tadh_wf_g4609	Tadh_wf_g4609.t1
Tadh_TriadG54468	Tadh_TriadT54468
Tadh_TriadG55198	Tadh_TriadT55198
Tadh_TriadG58739	Tadh_TriadT58739
Tadh_wf_g6626	Tadh_wf_g6626.t1
Tadh_wf_g4362	Tadh_wf_g4362.t1
Tadh_TriadG60506	Tadh_TriadT60506
Tadh_TriadG29700	Tadh_TriadT29700
Tadh_TriadG63550	Tadh_TriadT63550
Tadh_TriadG63518	Tadh_TriadT63518
Tadh_wf_g1441	Tadh_wf_g1441.t1
Tadh_TriadG51280	Tadh_TriadT51280
Tadh_TriadG63249	Tadh_TriadT63249
Tadh_TriadG57229	Tadh_TriadT57229
Tadh_TriadG52648	Tadh_TriadT52648
Tadh_TriadG32405	Tadh_TriadT32405
Tadh_TriadG59223	Tadh_TriadT59223
Tadh_TriadG57900	Tadh_TriadT57900
Tadh_wf_g6292	Tadh_wf_g6292.t1
Tadh_TriadG60371	Tadh_TriadT60371
Tadh_TriadG57401	Tadh_TriadT57401
Tadh_TriadG61132	Tadh_TriadT61132
Tadh_TriadG57374	Tadh_TriadT57374
Tadh_TriadG30390	Tadh_TriadT30390
Tadh_TriadG55144	Tadh_TriadT55144
Tadh_wf_g7045	Tadh_wf_g7045.t1
Tadh_wf_g6634	Tadh_wf_g6634.t1
Tadh_TriadG30614	Tadh_TriadT30614
Tadh_TriadG17289	Tadh_TriadT17289
Tadh_TriadG60001	Tadh_TriadT60001
Tadh_TriadG30117	Tadh_TriadT30117
Tadh_TriadG24214	Tadh_TriadT24214
Tadh_TriadG60424	Tadh_TriadT60424
Tadh_TriadG18926	Tadh_TriadT18926
Tadh_TriadG61651	Tadh_TriadT61651
Tadh_TriadG52831	Tadh_TriadT52831
Tadh_TriadG59708	Tadh_TriadT59708
Tadh_TriadG57847	Tadh_TriadT57847
Tadh_TriadG52192	Tadh_TriadT52192
Tadh_TriadG56398	Tadh_TriadT56398
Tadh_TriadG54774	Tadh_TriadT54774
Tadh_TriadG57075	Tadh_TriadT57075
Tadh_TriadG25964	Tadh_TriadT25964
Tadh_TriadG58528	Tadh_TriadT58528
Tadh_TriadG34471	Tadh_TriadT34471
Tadh_TriadG56444	Tadh_TriadT56444
Tadh_TriadG52391	Tadh_TriadT52391
Tadh_TriadG57959	Tadh_TriadT57959
Tadh_TriadG61511	Tadh_TriadT61511
Tadh_TriadG33463	Tadh_TriadT33463
Tadh_TriadG57103	Tadh_TriadT57103
Tadh_TriadG56714	Tadh_TriadT56714
Tadh_TriadG56257	Tadh_TriadT56257
Tadh_TriadG64391	Tadh_TriadT64391
Tadh_TriadG56320	Tadh_TriadT56320
Tadh_TriadG50874	Tadh_TriadT50874
Tadh_TriadG51403	Tadh_TriadT51403
Tadh_TriadG17584	Tadh_TriadT17584
Tadh_TriadG58622	Tadh_TriadT58622
Tadh_TriadG60355	Tadh_TriadT60355
Tadh_TriadG60769	Tadh_TriadT60769
Tadh_TriadG58671	Tadh_TriadT58671
Tadh_TriadG60143	Tadh_TriadT60143
Tadh_TriadG54259	Tadh_TriadT54259
Tadh_TriadG54019	Tadh_TriadT54019
Tadh_wf_g7592	Tadh_wf_g7592.t1
Tadh_TriadG28500	Tadh_TriadT28500
Tadh_TriadG61800	Tadh_TriadT61800
Tadh_TriadG64012	Tadh_TriadT64012
Tadh_TriadG23475	Tadh_TriadT23475
Tadh_wf_g10502	Tadh_wf_g10502.t1
Tadh_orphan_487	Tadh_orphan_487
Tadh_TriadG33038	Tadh_TriadT33038
Tadh_TriadG60047	Tadh_TriadT60047
Tadh_TriadG56318	Tadh_TriadT56318
Tadh_TriadG60807	Tadh_TriadT60807
Tadh_TriadG57724	Tadh_TriadT57724
Tadh_TriadG52248	Tadh_TriadT52248
Tadh_wf_g2999	Tadh_wf_g2999.t1
Tadh_orphan_1291	Tadh_orphan_1291
Tadh_wf_g9184	Tadh_wf_g9184.t1
Tadh_TriadG58054	Tadh_TriadT58054
Tadh_TriadG58820	Tadh_TriadT58820
Tadh_TriadG50603	Tadh_TriadT50603
Tadh_TriadG28417	Tadh_TriadT28417
Tadh_TriadG61928	Tadh_TriadT61928
Tadh_wf_g6870	Tadh_wf_g6870.t1
Tadh_TriadG20295	Tadh_TriadT20295
Tadh_TriadG61462	Tadh_TriadT61462
Tadh_TriadG58829	Tadh_TriadT58829
Tadh_TriadG59717	Tadh_TriadT59717
Tadh_TriadG27693	Tadh_TriadT27693
Tadh_TriadG63817	Tadh_TriadT63817
Tadh_wf_g5929	Tadh_wf_g5929.t1
Tadh_TriadG57064	Tadh_TriadT57064
Tadh_TriadG60977	Tadh_TriadT60977
Tadh_TriadG52451	Tadh_TriadT52451
Tadh_TriadG56242	Tadh_TriadT56242
Tadh_TriadG52261	Tadh_TriadT52261
Tadh_TriadG61968	Tadh_TriadT61968
Tadh_TriadG55935	Tadh_TriadT55935
Tadh_TriadG56463	Tadh_TriadT56463
Tadh_TriadG59327	Tadh_TriadT59327
Tadh_TriadG29402	Tadh_TriadT29402
Tadh_TriadG22099	Tadh_TriadT22099
Tadh_TriadG52683	Tadh_TriadT52683
Tadh_TriadG54457	Tadh_TriadT54457
Tadh_TriadG24195	Tadh_TriadT24195
Tadh_TriadG57096	Tadh_TriadT57096
Tadh_TriadG27651	Tadh_TriadT27651
Tadh_TriadG25541	Tadh_TriadT25541
Tadh_TriadG57490	Tadh_TriadT57490
Tadh_TriadG63834	Tadh_TriadT63834
Tadh_TriadG15663	Tadh_TriadT15663
Tadh_TriadG55687	Tadh_TriadT55687
Tadh_wf_g11139	Tadh_wf_g11139.t1
Tadh_wf_g5270	Tadh_wf_g5270.t1
Tadh_TriadG53113	Tadh_TriadT53113
Tadh_TriadG54252	Tadh_TriadT54252
Tadh_TriadG64127	Tadh_TriadT64127
Tadh_TriadG61795	Tadh_TriadT61795
Tadh_TriadG52466	Tadh_TriadT52466
Tadh_TriadG36591	Tadh_TriadT36591
Tadh_TriadG56006	Tadh_TriadT56006
Tadh_orphan_1787	Tadh_orphan_1787
Tadh_TriadG15248	Tadh_TriadT15248
Tadh_TriadG58842	Tadh_TriadT58842
Tadh_TriadG17277	Tadh_TriadT17277
Tadh_TriadG54649	Tadh_TriadT54649
Tadh_TriadG33519	Tadh_TriadT33519
Tadh_TriadG56592	Tadh_TriadT56592
Tadh_TriadG60813	Tadh_TriadT60813
Tadh_TriadG19806	Tadh_TriadT19806
Tadh_TriadG51692	Tadh_TriadT51692
Tadh_TriadG58238	Tadh_TriadT58238
Tadh_TriadG63484	Tadh_TriadT63484
Tadh_TriadG53096	Tadh_TriadT53096
Tadh_TriadG58129	Tadh_TriadT58129
Tadh_TriadG52113	Tadh_TriadT52113
Tadh_TriadG57055	Tadh_TriadT57055
Tadh_orphan_895	Tadh_orphan_895
Tadh_TriadG54997	Tadh_TriadT54997
Tadh_wf_g7054	Tadh_wf_g7054.t1
Tadh_TriadG58395	Tadh_TriadT58395
Tadh_TriadG31069	Tadh_TriadT31069
Tadh_TriadG23272	Tadh_TriadT23272
Tadh_TriadG54943	Tadh_TriadT54943
Tadh_TriadG29120	Tadh_TriadT29120
Tadh_orphan_2287	Tadh_orphan_2287
Tadh_TriadG58426	Tadh_TriadT58426
Tadh_TriadG59834	Tadh_TriadT59834
Tadh_TriadG61384	Tadh_TriadT61384
Tadh_TriadG27665	Tadh_TriadT27665
Tadh_wf_g7405	Tadh_wf_g7405.t1
Tadh_TriadG58077	Tadh_TriadT58077
Tadh_TriadG54819	Tadh_TriadT54819
Tadh_TriadG56598	Tadh_TriadT56598
Tadh_wf_g3462	Tadh_wf_g3462.t1
Tadh_TriadG58946	Tadh_TriadT58946
Tadh_TriadG55045	Tadh_TriadT55045
Tadh_TriadG61650	Tadh_TriadT61650
Tadh_TriadG57268	Tadh_TriadT57268
Tadh_TriadG55508	Tadh_TriadT55508
Tadh_TriadG52623	Tadh_TriadT52623
Tadh_TriadG58085	Tadh_TriadT58085
Tadh_TriadG63760	Tadh_TriadT63760
Tadh_wf_g6696	Tadh_wf_g6696.t1
Tadh_TriadG56986	Tadh_TriadT56986
Tadh_TriadG57686	Tadh_TriadT57686
Tadh_TriadG55398	Tadh_TriadT55398
Tadh_TriadG56310	Tadh_TriadT56310
Tadh_TriadG33802	Tadh_TriadT33802
Tadh_TriadG57999	Tadh_TriadT57999
Tadh_TriadG52719	Tadh_TriadT52719
Tadh_TriadG24432	Tadh_TriadT24432
Tadh_TriadG22586	Tadh_TriadT22586
Tadh_TriadG55455	Tadh_TriadT55455
Tadh_orphan_746	Tadh_orphan_746
Tadh_TriadG22954	Tadh_TriadT22954
Tadh_TriadG61211	Tadh_TriadT61211
Tadh_TriadG28493	Tadh_TriadT28493
Tadh_TriadG57991	Tadh_TriadT57991
Tadh_TriadG19158	Tadh_TriadT19158
Tadh_TriadG60484	Tadh_TriadT60484
Tadh_TriadG60226	Tadh_TriadT60226
Tadh_TriadG60721	Tadh_TriadT60721
Tadh_TriadG58198	Tadh_TriadT58198
Tadh_TriadG54752	Tadh_TriadT54752
Tadh_TriadG54907	Tadh_TriadT54907
Tadh_TriadG60752	Tadh_TriadT60752
Tadh_TriadG54232	Tadh_TriadT54232
Tadh_TriadG58001	Tadh_TriadT58001
Tadh_TriadG62315	Tadh_TriadT62315
Tadh_TriadG54898	Tadh_TriadT54898
Tadh_TriadG61746	Tadh_TriadT61746
Tadh_TriadG56355	Tadh_TriadT56355
Tadh_TriadG58893	Tadh_TriadT58893
Tadh_TriadG32294	Tadh_TriadT32294
Tadh_TriadG55723	Tadh_TriadT55723
Tadh_TriadG50643	Tadh_TriadT50643
Tadh_TriadG55913	Tadh_TriadT55913
Tadh_TriadG59323	Tadh_TriadT59323
Tadh_TriadG29585	Tadh_TriadT29585
Tadh_TriadG59322	Tadh_TriadT59322
Tadh_TriadG63833	Tadh_TriadT63833
Tadh_TriadG25393	Tadh_TriadT25393
Tadh_TriadG23652	Tadh_TriadT23652
Tadh_TriadG58673	Tadh_TriadT58673
Tadh_TriadG60207	Tadh_TriadT60207
Tadh_TriadG27741	Tadh_TriadT27741
Tadh_TriadG57009	Tadh_TriadT57009
Tadh_TriadG59845	Tadh_TriadT59845
Tadh_TriadG58457	Tadh_TriadT58457
Tadh_TriadG58487	Tadh_TriadT58487
Tadh_TriadG55461	Tadh_TriadT55461
Tadh_TriadG52370	Tadh_TriadT52370
Tadh_TriadG28339	Tadh_TriadT28339
Tadh_TriadG51623	Tadh_TriadT51623
Tadh_TriadG24325	Tadh_TriadT24325
Tadh_TriadG55170	Tadh_TriadT55170
Tadh_TriadG6104	Tadh_TriadT6104
Tadh_wf_g2800	Tadh_wf_g2800.t1
Tadh_TriadG58661	Tadh_TriadT58661
Tadh_wf_g9721	Tadh_wf_g9721.t1
Tadh_orphan_3033	Tadh_orphan_3033
Tadh_TriadG59707	Tadh_TriadT59707
Tadh_TriadG58275	Tadh_TriadT58275
Tadh_orphan_1677	Tadh_orphan_1677
Tadh_TriadG59832	Tadh_TriadT59832
Tadh_TriadG56493	Tadh_TriadT56493
Tadh_TriadG53074	Tadh_TriadT53074
Tadh_TriadG32674	Tadh_TriadT32674
Tadh_TriadG24633	Tadh_TriadT24633
Tadh_TriadG25970	Tadh_TriadT25970
Tadh_wf_g8158	Tadh_wf_g8158.t1
Tadh_TriadG60280	Tadh_TriadT60280
Tadh_TriadG59967	Tadh_TriadT59967
Tadh_TriadG56023	Tadh_TriadT56023
Tadh_orphan_3058	Tadh_orphan_3058
Tadh_wf_g502	Tadh_wf_g502.t1
Tadh_TriadG1085	Tadh_TriadT1085
Tadh_TriadG27662	Tadh_TriadT27662
Tadh_TriadG59003	Tadh_TriadT59003
Tadh_TriadG23726	Tadh_TriadT23726
Tadh_TriadG58513	Tadh_TriadT58513
Tadh_TriadG32021	Tadh_TriadT32021
Tadh_TriadG58797	Tadh_TriadT58797
Tadh_TriadG50116	Tadh_TriadT50116
Tadh_TriadG55288	Tadh_TriadT55288
Tadh_TriadG59118	Tadh_TriadT59118
Tadh_TriadG16177	Tadh_TriadT16177
Tadh_TriadG2504	Tadh_TriadT2504
Tadh_TriadG54191	Tadh_TriadT54191
Tadh_TriadG59734	Tadh_TriadT59734
Tadh_TriadG22294	Tadh_TriadT22294
Tadh_TriadG51889	Tadh_TriadT51889
Tadh_TriadG57557	Tadh_TriadT57557
Tadh_TriadG60790	Tadh_TriadT60790
Tadh_TriadG61853	Tadh_TriadT61853
Tadh_TriadG58283	Tadh_TriadT58283
Tadh_TriadG22532	Tadh_TriadT22532
Tadh_TriadG61094	Tadh_TriadT61094
Tadh_TriadG60914	Tadh_TriadT60914
Tadh_orphan_2751	Tadh_orphan_2751
Tadh_TriadG55064	Tadh_TriadT55064
Tadh_TriadG54113	Tadh_TriadT54113
Tadh_TriadG63614	Tadh_TriadT63614
Tadh_TriadG56030	Tadh_TriadT56030
Tadh_TriadG53036	Tadh_TriadT53036
Tadh_orphan_1185	Tadh_orphan_1185
Tadh_TriadG55945	Tadh_TriadT55945
Tadh_TriadG64292	Tadh_TriadT64292
Tadh_TriadG60631	Tadh_TriadT60631
Tadh_TriadG63920	Tadh_TriadT63920
Tadh_TriadG53035	Tadh_TriadT53035
Tadh_TriadG64422	Tadh_TriadT64422
Tadh_TriadG63918	Tadh_TriadT63918
Tadh_TriadG58955	Tadh_TriadT58955
Tadh_TriadG57370	Tadh_TriadT57370
SECP1	SECP1
Tadh_TriadG55318	Tadh_TriadT55318
Tadh_TriadG64234	Tadh_TriadT64234
Tadh_TriadG21255	Tadh_TriadT21255
Tadh_TriadG63932	Tadh_TriadT63932
Tadh_TriadG58211	Tadh_TriadT58211
Tadh_TriadG57940	Tadh_TriadT57940
Tadh_wf_g4839	Tadh_wf_g4839.t1
Tadh_TriadG62293	Tadh_TriadT62293
Tadh_TriadG54469	Tadh_TriadT54469
Tadh_TriadG57705	Tadh_TriadT57705
Tadh_TriadG31159	Tadh_TriadT31159
Tadh_orphan_263	Tadh_orphan_263
Tadh_TriadG59369	Tadh_TriadT59369
Tadh_TriadG3799	Tadh_TriadT3799
Tadh_wf_g2726	Tadh_wf_g2726.t1
Tadh_wf_g4529	Tadh_wf_g4529.t1
Tadh_TriadG58912	Tadh_TriadT58912
Tadh_TriadG55949	Tadh_TriadT55949
Tadh_TriadG59765	Tadh_TriadT59765
Tadh_TriadG63889	Tadh_TriadT63889
Tadh_TriadG56111	Tadh_TriadT56111
Tadh_TriadG54023	Tadh_TriadT54023
Tadh_wf_g2725	Tadh_wf_g2725.t1
Tadh_orphan_354	Tadh_orphan_354
SYTNTM	SYTNTM
Tadh_orphan_258	Tadh_orphan_258
Tadh_orphan_2422	Tadh_orphan_2422
Tadh_TriadG61885	Tadh_TriadT61885
Tadh_orphan_621	Tadh_orphan_621
Tadh_TriadG17540	Tadh_TriadT17540
Tadh_wf_g9346	Tadh_wf_g9346.t1
Tadh_TriadG63962	Tadh_TriadT63962
Tadh_TriadG61380	Tadh_TriadT61380
Tadh_wf_g9778	Tadh_wf_g9778.t1
Tadh_orphan_1759	Tadh_orphan_1759
Tadh_TriadG63963	Tadh_TriadT63963
Tadh_TriadG59880	Tadh_TriadT59880
Tadh_wf_g5450	Tadh_wf_g5450.t1
Tadh_orphan_618	Tadh_orphan_618
Tadh_TriadG59874	Tadh_TriadT59874
Tadh_TriadG59915	Tadh_TriadT59915
Tadh_TriadG55084	Tadh_TriadT55084
Tadh_orphan_2629	Tadh_orphan_2629
Tadh_wf_g11331	Tadh_wf_g11331.t1
Tadh_orphan_2958	Tadh_orphan_2958
Tadh_TriadG64280	Tadh_TriadT64280
Tadh_TriadG59872	Tadh_TriadT59872
Tadh_TriadG59876	Tadh_TriadT59876
Tadh_TriadG13778	Tadh_TriadT13778
Tadh_TriadG59873	Tadh_TriadT59873
Tadh_TriadG59875	Tadh_TriadT59875
Tadh_orphan_1031	Tadh_orphan_1031
Tadh_TriadG59877	Tadh_TriadT59877
Tadh_TriadG59881	Tadh_TriadT59881
Tadh_TriadG56157	Tadh_TriadT56157
Tadh_TriadG60258	Tadh_TriadT60258
Tadh_TriadG28406	Tadh_TriadT28406
Tadh_wf_g10308	Tadh_wf_g10308.t1
Tadh_TriadG58961	Tadh_TriadT58961
Tadh_wf_g4526	Tadh_wf_g4526.t1
Tadh_TriadG60087	Tadh_TriadT60087
Tadh_TriadG62745	Tadh_TriadT62745
Tadh_orphan_627	Tadh_orphan_627
Tadh_TriadG54306	Tadh_TriadT54306
Tadh_TriadG26725	Tadh_TriadT26725
Tadh_TriadG64027	Tadh_TriadT64027
Tadh_TriadG60092	Tadh_TriadT60092
Tadh_TriadG54280	Tadh_TriadT54280
Tadh_TriadG56391	Tadh_TriadT56391
Tadh_TriadG57522	Tadh_TriadT57522
Tadh_wf_g5446	Tadh_wf_g5446.t1
Tadh_TriadG61361	Tadh_TriadT61361
Tadh_orphan_645	Tadh_orphan_645
Tadh_TriadG62849	Tadh_TriadT62849
Tadh_TriadG60571	Tadh_TriadT60571
Tadh_TriadG57709	Tadh_TriadT57709
Tadh_TriadG33097	Tadh_TriadT33097
Tadh_TriadG55035	Tadh_TriadT55035
Tadh_wf_g10011	Tadh_wf_g10011.t1
Tadh_TriadG61877	Tadh_TriadT61877
Tadh_wf_g4695	Tadh_wf_g4695.t1
Tadh_wf_g10012	Tadh_wf_g10012.t1
Tadh_TriadG26265	Tadh_TriadT26265
Tadh_TriadG58799	Tadh_TriadT58799
Tadh_wf_g9225	Tadh_wf_g9225.t1
Tadh_TriadG60170	Tadh_TriadT60170
Tadh_TriadG58521	Tadh_TriadT58521
Tadh_TriadG596	Tadh_TriadT596
Tadh_TriadG60944	Tadh_TriadT60944
Tadh_TriadG56231	Tadh_TriadT56231
Tadh_TriadG63582	Tadh_TriadT63582
Tadh_TriadG61736	Tadh_TriadT61736
Tadh_TriadG59481	Tadh_TriadT59481
Tadh_TriadG54911	Tadh_TriadT54911
Tadh_TriadG59878	Tadh_TriadT59878
Tadh_TriadG50678	Tadh_TriadT50678
Tadh_TriadG58954	Tadh_TriadT58954
Tadh_wf_g3811	Tadh_wf_g3811.t1
Tadh_TriadG61933	Tadh_TriadT61933
Tadh_TriadG13868	Tadh_TriadT13868
Tadh_TriadG62084	Tadh_TriadT62084
Tadh_TriadG58489	Tadh_TriadT58489
Tadh_TriadG9129	Tadh_TriadT9129
Tadh_TriadG55173	Tadh_TriadT55173
Tadh_TriadG59528	Tadh_TriadT59528
Tadh_TriadG38332	Tadh_TriadT38332
Tadh_TriadG20166	Tadh_TriadT20166
Tadh_orphan_940	Tadh_orphan_940
Tadh_TriadG63375	Tadh_TriadT63375
Tadh_TriadG60908	Tadh_TriadT60908
Tadh_TriadG52602	Tadh_TriadT52602
Tadh_wf_g9664	Tadh_wf_g9664.t1
Tadh_orphan_1051	Tadh_orphan_1051
Tadh_TriadG58362	Tadh_TriadT58362
Tadh_TriadG58684	Tadh_TriadT58684
Tadh_TriadG1002	Tadh_TriadT1002
Tadh_TriadG60691	Tadh_TriadT60691
Tadh_TriadG52620	Tadh_TriadT52620
Tadh_TriadG58744	Tadh_TriadT58744
Tadh_TriadG18955	Tadh_TriadT18955
Tadh_TriadG33760	Tadh_TriadT33760
Tadh_TriadG60673	Tadh_TriadT60673
Tadh_TriadG60638	Tadh_TriadT60638
Tadh_TriadG62705	Tadh_TriadT62705
Tadh_wf_g11022	Tadh_wf_g11022.t1
Tadh_TriadG33914	Tadh_TriadT33914
Tadh_TriadG55946	Tadh_TriadT55946
Tadh_orphan_1030	Tadh_orphan_1030
Tadh_TriadG61357	Tadh_TriadT61357
Tadh_TriadG57016	Tadh_TriadT57016
Tadh_orphan_983	Tadh_orphan_983
Tadh_wf_g3522	Tadh_wf_g3522.t1
Tadh_orphan_1652	Tadh_orphan_1652
Tadh_TriadG8381	Tadh_TriadT8381
Tadh_TriadG59927	Tadh_TriadT59927
Tadh_TriadG60692	Tadh_TriadT60692
Tadh_TriadG60690	Tadh_TriadT60690
Tadh_TriadG58337	Tadh_TriadT58337
Tadh_TriadG23368	Tadh_TriadT23368
Tadh_TriadG34381	Tadh_TriadT34381
Tadh_TriadG62146	Tadh_TriadT62146
Tadh_TriadG58686	Tadh_TriadT58686
Tadh_TriadG54261	Tadh_TriadT54261
Tadh_TriadG61617	Tadh_TriadT61617
Tadh_TriadG31621	Tadh_TriadT31621
Tadh_TriadG55599	Tadh_TriadT55599
Tadh_TriadG37642	Tadh_TriadT37642
Tadh_TriadG31400	Tadh_TriadT31400
Tadh_TriadG54949	Tadh_TriadT54949
Tadh_orphan_1578	Tadh_orphan_1578
Tadh_orphan_1419	Tadh_orphan_1419
Tadh_TriadG60671	Tadh_TriadT60671
Tadh_TriadG55179	Tadh_TriadT55179
Tadh_TriadG18429	Tadh_TriadT18429
Tadh_TriadG56046	Tadh_TriadT56046
Tadh_TriadG50927	Tadh_TriadT50927
Tadh_TriadG51586	Tadh_TriadT51586
Tadh_TriadG56426	Tadh_TriadT56426
Tadh_TriadG57703	Tadh_TriadT57703
Tadh_TriadG61946	Tadh_TriadT61946
Tadh_TriadG31314	Tadh_TriadT31314
Tadh_TriadG54438	Tadh_TriadT54438
Tadh_TriadG59879	Tadh_TriadT59879
Tadh_TriadG62227	Tadh_TriadT62227
Tadh_TriadG59517	Tadh_TriadT59517
Tadh_TriadG56201	Tadh_TriadT56201
Tadh_TriadG31868	Tadh_TriadT31868
Tadh_TriadG33791	Tadh_TriadT33791
Tadh_TriadG31308	Tadh_TriadT31308
Tadh_TriadG62148	Tadh_TriadT62148
Tadh_TriadG26431	Tadh_TriadT26431
Tadh_TriadG22731	Tadh_TriadT22731
Tadh_TriadG30811	Tadh_TriadT30811
Tadh_TriadG60683	Tadh_TriadT60683
Tadh_orphan_2131	Tadh_orphan_2131
Tadh_TriadG31561	Tadh_TriadT31561
Tadh_TriadG63592	Tadh_TriadT63592
Tadh_TriadG59635	Tadh_TriadT59635
Tadh_TriadG51000	Tadh_TriadT51000
Tadh_TriadG60041	Tadh_TriadT60041
Tadh_hyp_clust9449	Tadh_hyp_clust9449.t1
Tadh_TriadG16382	Tadh_TriadT16382
Tadh_orphan_852	Tadh_orphan_852
Tadh_wf_g11069	Tadh_wf_g11069.t1
Tadh_TriadG61088	Tadh_TriadT61088
Tadh_TriadG31425	Tadh_TriadT31425
Tadh_TriadG7674	Tadh_TriadT7674
Tadh_TriadG62826	Tadh_TriadT62826
Tadh_TriadG26823	Tadh_TriadT26823
Tadh_TriadG58654	Tadh_TriadT58654
Tadh_TriadG59197	Tadh_TriadT59197
Tadh_TriadG62063	Tadh_TriadT62063
Tadh_wf_g3460	Tadh_wf_g3460.t1
Tadh_TriadG59818	Tadh_TriadT59818
Tadh_TriadG51860	Tadh_TriadT51860
Tadh_TriadG58711	Tadh_TriadT58711
Tadh_wf_g4209	Tadh_wf_g4209.t1
Tadh_TriadG59503	Tadh_TriadT59503
Tadh_TriadG60863	Tadh_TriadT60863
Tadh_TriadG61362	Tadh_TriadT61362
Tadh_TriadG31364	Tadh_TriadT31364
Tadh_TriadG52349	Tadh_TriadT52349
Tadh_hyp_clust4437	Tadh_hyp_clust4437.t1
Tadh_TriadG60865	Tadh_TriadT60865
Tadh_TriadG57759	Tadh_TriadT57759
Tadh_TriadG23934	Tadh_TriadT23934
Tadh_TriadG55165	Tadh_TriadT55165
Tadh_TriadG57857	Tadh_TriadT57857
Tadh_TriadG51362	Tadh_TriadT51362
Tadh_wf_g1344	Tadh_wf_g1344.t1
Tadh_TriadG64005	Tadh_TriadT64005
Tadh_orphan_405	Tadh_orphan_405
Tadh_orphan_685	Tadh_orphan_685
Tadh_TriadG54193	Tadh_TriadT54193
Tadh_TriadG56208	Tadh_TriadT56208
Tadh_TriadG62011	Tadh_TriadT62011
Tadh_TriadG61286	Tadh_TriadT61286
Tadh_TriadG61364	Tadh_TriadT61364
Tadh_hyp_clust4946	Tadh_hyp_clust4946.t1
Tadh_TriadG53128	Tadh_TriadT53128
Tadh_TriadG33233	Tadh_TriadT33233
Tadh_TriadG56504	Tadh_TriadT56504
Tadh_wf_g8666	Tadh_wf_g8666.t1
Tadh_TriadG31903	Tadh_TriadT31903
Tadh_TriadG60883	Tadh_TriadT60883
Tadh_TriadG30409	Tadh_TriadT30409
Tadh_TriadG59537	Tadh_TriadT59537
Tadh_TriadG20959	Tadh_TriadT20959
Tadh_wf_g5190	Tadh_wf_g5190.t1
Tadh_TriadG62482	Tadh_TriadT62482
Tadh_TriadG63711	Tadh_TriadT63711
Tadh_orphan_625	Tadh_orphan_625
Tadh_TriadG52298	Tadh_TriadT52298
Tadh_TriadG54882	Tadh_TriadT54882
Tadh_TriadG54571	Tadh_TriadT54571
Tadh_TriadG64013	Tadh_TriadT64013
Tadh_orphan_775	Tadh_orphan_775
Tadh_TriadG59128	Tadh_TriadT59128
Tadh_wf_g3747	Tadh_wf_g3747.t1
Tadh_TriadG25152	Tadh_TriadT25152
