TrH2_hyp_clust10124.t1	DDE_Tnp_4
TrH2_TrispH2_003151-RA	
TrH2_TrispH2_003152-RA	Ribosomal_S9
TrH2_TrispH2_003153-RA	ADH_N ADH_zinc_N
TrH2_TrispH2_003154-RA	CLASP_N
TrH2_TrispH2_003155-RA	ATG13
TrH2_TrispH2_003156-RA	zf-met
TrH2_TrispH2_003157-RA	Itfg2
TrH2_TrispH2_003158-RA	U1snRNP70_N RRM_1
TrH2_TrispH2_003159-RA	FAD_binding_3 CH DUF3585
TrH2_TrispH2_003160-RA	RWD Pkinase Pkinase Pkinase tRNA-synt_His
TrH2_TrispH2_003161-RA	DUF726
TrH2_TrispH2_003162-RA	Lipase_2
TrH2_TrispH2_003163-RA	DNA_alkylation
TrH2_TrispH2_003164-RA	DNA_alkylation
TrH2_TrispH2_003165-RA	CARD Kelch_1 Kelch_1
TrH2_TrispH2_003166-RA	PDZ Roc Ras
TrH2_TrispH2_003167-RA	Ras
TrH2_TrispH2_003168-RA	Actin
TrH2_TrispH2_003169-RA	Kinesin
TrH2_TrispH2_003170-RA	zf-RING_4 RRM_1
TrH2_TrispH2_003171-RA	
TrH2_TrispH2_003172-RA	Nup35_RRM
TrH2_TrispH2_003173-RA	Surp Surp PRP21_like_P
TrH2_TrispH2_003174-RA	PHD_2
TrH2_TrispH2_003175-RA	Methyltransf_PK
TrH2_TrispH2_003176-RA	Methyltransf_4
TrH2_TrispH2_003177-RA	Tropomyosin
TrH2_TrispH2_003178-RA	zf-C2H2_jaz zf-C2H2_2
TrH2_TrispH2_003179-RA	Ribosomal_L15e
TrH2_TrispH2_003180-RA	MyTH4 RhoGAP RhoGAP Amidohydro_1
TrH2_TrispH2_003181-RA	Sushi EGF_CA EGF_CA EGF_CA EGF_CA Sushi EGF_CA EGF_CA EGF_3 EGF_CA Sushi EGF_CA EGF_CA EGF_CA EGF_CA EGF_CA EGF_CA Pkinase_Tyr
TrH2_TrispH2_003182-RA	DUF3883
TrH2_TrispH2_003183-RA	RPN1_RPN2_N PC_rep PC_rep RPN1_C
TrH2_TrispH2_003184-RA	LisH CLTH
TrH2_TrispH2_003185-RA	MFS_1
TrH2_TrispH2_003186-RA	zf-RING_2
TrH2_TrispH2_003187-RA	DNA_methylase
TrH2_TrispH2_003188-RA	BRCT PTCB-BRCT RTT107_BRCT_5
TrH2_TrispH2_003189-RA	zf-met SF3A2
TrH2_TrispH2_003190-RA	
TrH2_TrispH2_003191-RA	Frizzled
TrH2_TrispH2_003192-RA	RNase_PH RNase_PH_C
TrH2_TrispH2_003193-RA	7tm_1
TrH2_TrispH2_003194-RA	7tm_1
TrH2_TrispH2_003195-RA	7tm_1
TrH2_TrispH2_003196-RA	7tm_1
TrH2_TrispH2_003197-RA	SH2 SH3_1 SH3_2
TrH2_TrispH2_003198-RA	UBA_4 SEP UBX
TrH2_TrispH2_003199-RA	mTERF mTERF
TrH2_TrispH2_003200-RA	RNA_GG_bind
TrH2_TrispH2_003201-RA	Glyco_transf_8
TrH2_TrispH2_003202-RA	Glyco_transf_8
TrH2_TrispH2_003203-RA	DUF3883
TrH2_TrispH2_003204-RA	zf-CCHC_3 zf-CCHC zf-CCHC zf-CCHC_3 zf-CCHC
TrH2_TrispH2_003205-RA	DUF4062 TPR_10
TrH2_TrispH2_003206-RA	
TrH2_TrispH2_003207-RA	
TrH2_TrispH2_003208-RA	
TrH2_TrispH2_003209-RA	
TrH2_TrispH2_003210-RA	MORN_2 MORN_2 MORN_2 MORN_2
TrH2_TrispH2_003211-RA	MORN_2 MORN_2
TrH2_TrispH2_003212-RA	DUF3883
TrH2_TrispH2_003213-RA	DUF3883
TrH2_TrispH2_003214-RA	DUF3883
TrH2_TrispH2_003215-RA	SRCR SRCR MAM
TrH2_TrispH2_003216-RA	MAM Kringle SRCR MAM
TrH2_TrispH2_003217-RA	Pep_M12B_propep Reprolysin_5 Disintegrin
TrH2_TrispH2_003218-RA	Kringle SRCR
TrH2_TrispH2_003219-RA	
TrH2_TrispH2_003220-RA	SRCR
TrH2_TrispH2_003221-RA	MAM Kringle SRCR SRCR
TrH2_TrispH2_003222-RA	MAM Kringle SRCR SRCR MAM
TrH2_TrispH2_003223-RA	SRCR
TrH2_TrispH2_003224-RA	
TrH2_TrispH2_003225-RA	ChaC
TrH2_TrispH2_003226-RA	Proteasome_A_N Proteasome
TrH2_TrispH2_003227-RA	Fer2_2 FAD_binding_5 CO_deh_flav_C Ald_Xan_dh_C Ald_Xan_dh_C2
TrH2_TrispH2_003228-RA	UAA
TrH2_TrispH2_003229-RA	
TrH2_TrispH2_003230-RA	SCAI
TrH2_TrispH2_003231-RA	FKBP_C
TrH2_TrispH2_003232-RA	
TrH2_TrispH2_003233-RA	LSM
TrH2_TrispH2_003234-RA	Beach
TrH2_TrispH2_003235-RA	Auto_anti-p27
TrH2_TrispH2_003236-RA	COG2 DUF3510
TrH2_TrispH2_003237-RA	SAYSvFN
TrH2_TrispH2_003238-RA	Erg28
TrH2_TrispH2_003239-RA	Pecanex_C
TrH2_TrispH2_003240-RA	SpoU_sub_bind SpoU_methylase
TrH2_TrispH2_003241-RA	RrnaAD
TrH2_TrispH2_003242-RA	SH3_1 Pkinase_Tyr
TrH2_TrispH2_003243-RA	
TrH2_TrispH2_003244-RA	XPG_N XPG_I
TrH2_TrispH2_003245-RA	Med6
TrH2_TrispH2_003246-RA	Yip1
TrH2_TrispH2_003247-RA	
TrH2_TrispH2_003248-RA	MMR_HSR1
TrH2_TrispH2_003249-RA	
TrH2_TrispH2_003250-RA	MMR_HSR1
TrH2_TrispH2_003251-RA	MMR_HSR1
TrH2_TrispH2_003252-RA	
TrH2_TrispH2_003253-RA	
TrH2_TrispH2_003254-RA	Lactamase_B_2
TrH2_TrispH2_003255-RA	Transketolase_N Transket_pyr Transketolase_C
TrH2_TrispH2_003256-RA	Astacin Laminin_G_3
TrH2_TrispH2_003257-RA	Il2rg
TrH2_TrispH2_003258-RA	Seryl_tRNA_N tRNA-synt_2b
TrH2_TrispH2_003259-RA	HSD3
TrH2_TrispH2_003260-RA	WD40
TrH2_TrispH2_003261-RA	BIR BIRC6 UQ_con
TrH2_TrispH2_003262-RA	Fcf1
TrH2_TrispH2_003263-RA	CH CH Spectrin Spectrin Spectrin Spectrin EF-hand_7 EFhand_Ca_insen
TrH2_TrispH2_003264-RA	Fn3_assoc DZR DZR Ank_2
TrH2_TrispH2_003265-RA	Presenilin
TrH2_TrispH2_003266-RA	RNA_pol_Rpc34
TrH2_TrispH2_003267-RA	AAA AAA_lid_3
TrH2_TrispH2_003268-RA	
TrH2_TrispH2_003269-RA	CRT-like
TrH2_TrispH2_003270-RA	CRT-like
TrH2_TrispH2_003271-RA	
TrH2_TrispH2_003272-RA	Gemin6
TrH2_TrispH2_003273-RA	2OG-FeII_Oxy_2
TrH2_TrispH2_003274-RA	ANF_receptor 7tm_3
TrH2_TrispH2_003275-RA	ANF_receptor 7tm_3
TrH2_TrispH2_003276-RA	BBS1
TrH2_TrispH2_003277-RA	SHS2_Rpb7-N S1
TrH2_TrispH2_003278-RA	Ribosomal_L4
TrH2_TrispH2_003279-RA	HYLS1_C
TrH2_TrispH2_003280-RA	Urocanase_N Urocanase Urocanase_C
TrH2_TrispH2_003281-RA	ABC1
TrH2_TrispH2_003282-RA	CCDC85
TrH2_TrispH2_003283-RA	Cyclin_N
TrH2_TrispH2_003284-RA	zf-UBR
TrH2_TrispH2_003285-RA	
TrH2_TrispH2_003286-RA	IPK
TrH2_TrispH2_003287-RA	SIR2
TrH2_TrispH2_003288-RA	
TrH2_TrispH2_003289-RA	Acyltransferase
TrH2_TrispH2_003290-RA	CPBP
TrH2_TrispH2_003291-RA	
TrH2_TrispH2_003292-RA	Myb_DNA-binding
TrH2_TrispH2_003293-RA	Ig_2 I-set Ig_3 I-set I-set I-set Pkinase_Tyr
TrH2_TrispH2_003294-RA	CEP170_C
TrH2_TrispH2_003295-RA	
TrH2_TrispH2_003296-RA	4HBT 4HBT
TrH2_TrispH2_003297-RA	AAA AAA
TrH2_TrispH2_003298-RA	DEAD_2 HBB Helicase_C_2
TrH2_TrispH2_003299-RA	ANAPC4_WD40
TrH2_TrispH2_003300-RA	CCCAP
TrH2_TrispH2_003301-RA	Pol_alpha_B_N DNA_pol_E_B
TrH2_TrispH2_003302-RA	Bap31 Bap31_Bap29_C
TrH2_TrispH2_003303-RA	HLH
TrH2_TrispH2_003304-RA	ANAPC4_WD40 Hyd_WA Hyd_WA Hyd_WA Hyd_WA Hyd_WA
TrH2_TrispH2_003305-RA	DnaJ RRM_1
TrH2_TrispH2_003306-RA	
TrH2_TrispH2_003307-RA	BTB_2
TrH2_TrispH2_003308-RA	IFT20
TrH2_TrispH2_003309-RA	Globin
TrH2_TrispH2_003310-RA	adh_short
TrH2_TrispH2_003311-RA	FAM177
TrH2_TrispH2_003312-RA	Acyl-CoA_dh_M Acyl-CoA_dh_1 ACOX
TrH2_TrispH2_003313-RA	
TrH2_TrispH2_003314-RA	TAF TAF6_C
TrH2_TrispH2_003315-RA	eIF-3c_N PCI
TrH2_TrispH2_003316-RA	Adaptin_N Alpha_adaptinC2 B2-adapt-app_C
TrH2_TrispH2_003317-RA	
TrH2_TrispH2_003318-RA	UBA UBX
TrH2_TrispH2_003319-RA	7tm_1
TrH2_TrispH2_003320-RA	7tm_1
TrH2_TrispH2_003321-RA	7tm_1
TrH2_TrispH2_003322-RA	7tm_1
TrH2_TrispH2_003323-RA	ResIII Helicase_C Dicer_dimer PAZ Ribonuclease_3 Ribonuclease_3
TrH2_TrispH2_003324-RA	zf-AN1 zf-AN1
TrH2_TrispH2_003325-RA	OCIA
TrH2_TrispH2_003326-RA	Iso_dh
TrH2_TrispH2_003327-RA	
TrH2_TrispH2_003328-RA	RFX_DNA_binding
TrH2_TrispH2_003329-RA	Metallophos
TrH2_TrispH2_003330-RA	ABC_tran ABC2_membrane_7 ABC2_membrane
TrH2_TrispH2_003331-RA	TBCC
TrH2_TrispH2_003332-RA	Amino_oxidase
TrH2_TrispH2_003333-RA	Amino_oxidase
TrH2_TrispH2_003334-RA	AlaDh_PNT_N Sacchrp_dh_NADP Sacchrp_dh_C
TrH2_TrispH2_003335-RA	IPP-2
TrH2_TrispH2_003336-RA	Pkinase
TrH2_TrispH2_003337-RA	OTU
TrH2_TrispH2_003338-RA	Zw10
TrH2_TrispH2_003339-RA	zf_CCCH_4 zf-CCCH_2 zf-CCCH_2
TrH2_TrispH2_003340-RA	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C
TrH2_TrispH2_003341-RA	SH3_1 SH3_2 RhoGEF BAR
TrH2_TrispH2_003342-RA	
TrH2_TrispH2_003343-RA	GIY-YIG
TrH2_TrispH2_003344-RA	V-ATPase_C
TrH2_TrispH2_003345-RA	Pkinase Pkinase
TrH2_TrispH2_003346-RA	PH RabGAP-TBC
TrH2_TrispH2_003347-RA	DUF2152
TrH2_TrispH2_003348-RA	Lactamase_B_6 Beta-Casp RMMBL CPSF73-100_C
TrH2_TrispH2_003349-RA	Ysc84 SH3_9
TrH2_TrispH2_003350-RA	JmjC
TrH2_TrispH2_003351-RA	Ank_2 Ank_2 Ank Pkinase
TrH2_TrispH2_003352-RA	
TrH2_TrispH2_003353-RA	zf-C3HC4_2 RAWUL
TrH2_TrispH2_003354-RA	WW
TrH2_TrispH2_003355-RA	GTP-bdg_N GTP-bdg_M MMR_HSR1
TrH2_TrispH2_003356-RA	Ribosomal_L32e
TrH2_TrispH2_003357-RA	Cupin_8
TrH2_TrispH2_003358-RA	Pkinase
TrH2_TrispH2_003359-RA	Fz NTR
TrH2_TrispH2_003360-RA	
TrH2_TrispH2_003361-RA	PurA
TrH2_TrispH2_003362-RA	Swi3
TrH2_TrispH2_003363-RA	RRM_1 RRM_1
TrH2_TrispH2_003364-RA	Vps26 Vps26
TrH2_TrispH2_003365-RA	UDPGP
TrH2_TrispH2_003366-RA	Ribosomal_L11_N Ribosomal_L11
TrH2_TrispH2_003367-RA	zf-SCNM1 SCNM1_acidic
TrH2_TrispH2_003368-RA	
TrH2_TrispH2_003369-RA	RRM_1 DND1_DSRM
TrH2_TrispH2_003370-RA	RRM_1 RRM_1
TrH2_TrispH2_003371-RA	Kinesin
TrH2_TrispH2_003372-RA	LRR_8 LRR_8 LRR_8 LRR_8
TrH2_TrispH2_003373-RA	RabGAP-TBC
TrH2_TrispH2_003374-RA	Ras
TrH2_TrispH2_003375-RA	Aminotran_1_2
TrH2_TrispH2_003376-RA	G-patch FtsJ
TrH2_TrispH2_003377-RA	Homeodomain
TrH2_TrispH2_003378-RA	Esterase
TrH2_TrispH2_003379-RA	ANF_receptor ANF_receptor 7tm_3
TrH2_TrispH2_003380-RA	Ank_2 Ank_2
TrH2_TrispH2_003381-RA	Actin
TrH2_TrispH2_003382-RA	Homeodomain
TrH2_TrispH2_003383-RA	Homeodomain
TrH2_TrispH2_003384-RA	Homeodomain
TrH2_TrispH2_003385-RA	Homeodomain
TrH2_TrispH2_003386-RA	Globin
TrH2_TrispH2_003387-RA	IRF
TrH2_TrispH2_003388-RA	XRN_N XRN_M
TrH2_TrispH2_003389-RA	HEAT
TrH2_TrispH2_003390-RA	Forkhead
TrH2_TrispH2_003391-RA	TIP49 TIP49_C
TrH2_TrispH2_003392-RA	
TrH2_TrispH2_003393-RA	
TrH2_TrispH2_003394-RA	LRR_6 LRR_6 LRR_6 LRR_6 LRR_6 LRR_6 EF-hand_7
TrH2_TrispH2_003395-RA	COMM_domain
TrH2_TrispH2_003396-RA	p450
TrH2_TrispH2_003397-RA	DUF1057
TrH2_TrispH2_003398-RA	DUF1057
TrH2_TrispH2_003399-RA	
TrH2_TrispH2_003400-RA	HTH_Tnp_1 HTH_Tnp_Tc5
TrH2_TrispH2_003401-RA	7tm_1
TrH2_TrispH2_003402-RA	RabGAP-TBC
TrH2_TrispH2_003403-RA	Ank_2 Ank_2 Ank_2
TrH2_TrispH2_003404-RA	tRNA-synt_1e
TrH2_TrispH2_003405-RA	RasGEF
TrH2_TrispH2_003406-RA	60KD_IMP
TrH2_TrispH2_003407-RA	PLA2G12
TrH2_TrispH2_003408-RA	Ank_2 Ank_2
TrH2_TrispH2_003409-RA	
TrH2_TrispH2_003410-RA	RHD_DNA_bind
TrH2_TrispH2_003411-RA	Ank_2 Ank_2 Ank Ank_2 Ank_2
TrH2_TrispH2_003412-RA	CSD
TrH2_TrispH2_003413-RA	DHC_N2 AAA_6 Dynein_AAA_lid AAA_7 AAA_lid_1 AAA_8 MT AAA_9 Dynein_heavy AAA_lid_11 Dynein_C
TrH2_TrispH2_003414-RA	F-box WD40 WD40 WD40 WD40
TrH2_TrispH2_003415-RA	TFCD_C
TrH2_TrispH2_003416-RA	TFCD_C
TrH2_TrispH2_003417-RA	Pkinase
TrH2_TrispH2_003418-RA	
TrH2_TrispH2_003420-RA	MBOAT
TrH2_TrispH2_003421-RA	Ank_5 Ank Ank_4 Ank Ank_2 Ank_2 Ank Ank_2 Ion_trans
TrH2_TrispH2_003422-RA	Ank_5 Ank_2 Ank_4 Ank_2 Ank_2 Ank_2 Ank_2 Ion_trans Ank_4 Ank_4 Ank_2 Ank Ank_2 Ank_4 Ion_trans
TrH2_TrispH2_003423-RA	Ank_3 Ank_2 Ank_2 Ank_2 Ank_2 Ion_trans
TrH2_TrispH2_003424-RA	
TrH2_TrispH2_003425-RA	Ion_trans Ion_trans Ion_trans Ion_trans GPHH Ca_chan_IQ
TrH2_TrispH2_003426-RA	SNAP
TrH2_TrispH2_003427-RA	VHS FYVE Hrs_helical
TrH2_TrispH2_003428-RA	ADH_N ADH_zinc_N
TrH2_TrispH2_003429-RA	ADH_N ADH_zinc_N
TrH2_TrispH2_003430-RA	RGS DIX
TrH2_TrispH2_003431-RA	Nucleopor_Nup85 Nucleopor_Nup85
TrH2_TrispH2_003432-RA	CN_hydrolase Vanin_C
TrH2_TrispH2_003433-RA	Aa_trans
TrH2_TrispH2_003434-RA	WD40 WD40
TrH2_TrispH2_003435-RA	PGAP1
TrH2_TrispH2_003436-RA	Trefoil NtCtMGAM_N Gal_mutarotas_2 Glyco_hydro_31
TrH2_TrispH2_003437-RA	F-box Ank_4
TrH2_TrispH2_003438-RA	UCH
TrH2_TrispH2_003439-RA	LCM
TrH2_TrispH2_003440-RA	
TrH2_TrispH2_003441-RA	NUDE_C
TrH2_TrispH2_003442-RA	Meiosis_expr
TrH2_TrispH2_003443-RA	DUF938
TrH2_TrispH2_003444-RA	DUF4795
TrH2_TrispH2_003445-RA	WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_003446-RA	
TrH2_TrispH2_003447-RA	NUDIX
TrH2_TrispH2_003448-RA	Ependymin
TrH2_TrispH2_003449-RA	Ependymin
TrH2_TrispH2_003450-RA	Ependymin
TrH2_TrispH2_003451-RA	
TrH2_TrispH2_003452-RA	Ependymin
TrH2_TrispH2_003453-RA	
TrH2_TrispH2_003454-RA	Ependymin
TrH2_TrispH2_003455-RA	Ependymin
TrH2_TrispH2_003456-RA	7tm_1
TrH2_TrispH2_003457-RA	Stk19
TrH2_TrispH2_003458-RA	zf-C3HC4_3
TrH2_TrispH2_003459-RA	
TrH2_TrispH2_003460-RA	SRCR EGF SRCR EGF SRCR EGF SRCR EGF_CA EGF_CA EGF_CA SEA
TrH2_TrispH2_003461-RA	UBA_4
TrH2_TrispH2_003462-RA	Pyr_redox_2
TrH2_TrispH2_003463-RA	
TrH2_TrispH2_003464-RA	Acyl-CoA_dh_N Acyl-CoA_dh_M Acyl-CoA_dh_1
TrH2_TrispH2_003465-RA	RNase_T
TrH2_TrispH2_003466-RA	Branch Xylo_C
TrH2_TrispH2_003467-RA	tRNA_anti-codon tRNA-synt_2
TrH2_TrispH2_003468-RA	Tom22
TrH2_TrispH2_003469-RA	
TrH2_TrispH2_003470-RA	
TrH2_TrispH2_003471-RA	MAD
TrH2_TrispH2_003472-RA	Exo70
TrH2_TrispH2_003473-RA	Wbp11
TrH2_TrispH2_003474-RA	Forkhead
TrH2_TrispH2_003475-RA	
TrH2_TrispH2_003476-RA	MFS_1
TrH2_TrispH2_003477-RA	zf-A20 VPS9
TrH2_TrispH2_003478-RA	
TrH2_TrispH2_003479-RA	Rhomboid
TrH2_TrispH2_003480-RA	FCH SH3_1
TrH2_TrispH2_003481-RA	Galactosyl_T
TrH2_TrispH2_003482-RA	zf-C4 Hormone_recep
TrH2_TrispH2_003483-RA	
TrH2_TrispH2_003484-RA	Bromodomain
TrH2_TrispH2_003485-RA	Adaptin_binding
TrH2_TrispH2_003486-RA	Ribosomal_S13
TrH2_TrispH2_003487-RA	WD40 BING4CT
TrH2_TrispH2_003488-RA	SPC25
TrH2_TrispH2_003489-RA	
TrH2_TrispH2_003490-RA	ALAD
TrH2_TrispH2_003491-RA	DUF1619 DUF1619
TrH2_TrispH2_003492-RA	Ocnus
TrH2_TrispH2_003493-RA	Snapin_Pallidin
TrH2_TrispH2_003494-RA	Metallophos DBR1 DBR1
TrH2_TrispH2_003495-RA	
TrH2_TrispH2_003496-RA	
TrH2_TrispH2_003497-RA	Laminin_EGF Laminin_EGF NTR
TrH2_TrispH2_003498-RA	RasGEF
TrH2_TrispH2_003499-RA	Ank_5 Ank_2 Ank_2 Ank_2 Ank_2 Ank_2 Ion_trans
TrH2_TrispH2_003500-RA	Lectin_C
TrH2_TrispH2_003501-RA	DUF4612
TrH2_TrispH2_003502-RA	LicD
TrH2_TrispH2_003503-RA	zf-DNL
TrH2_TrispH2_003504-RA	UQ_con
TrH2_TrispH2_003505-RA	
TrH2_TrispH2_003506-RA	
TrH2_TrispH2_003507-RA	COR Death
TrH2_TrispH2_003508-RA	Death Roc COR Death
TrH2_TrispH2_003509-RA	COR
TrH2_TrispH2_003510-RA	CARD CARD Death
TrH2_TrispH2_003511-RA	Death
TrH2_TrispH2_003512-RA	NuA4
TrH2_TrispH2_003513-RA	CRT-like
TrH2_TrispH2_003514-RA	CRT-like
TrH2_TrispH2_003515-RA	DUF2353
TrH2_TrispH2_003516-RA	ATP-synt_ab_N ATP-synt_ab
TrH2_TrispH2_003517-RA	Metallophos
TrH2_TrispH2_003518-RA	HLH
TrH2_TrispH2_003519-RA	Homeodomain
TrH2_TrispH2_003520-RA	Dimer_Tnp_hAT
TrH2_TrispH2_003522-RA	
TrH2_TrispH2_003523-RA	SFXNs
TrH2_TrispH2_003524-RA	Nse4-Nse3_bdg Nse4_C
TrH2_TrispH2_003525-RA	
TrH2_TrispH2_003526-RA	FAM183
TrH2_TrispH2_003527-RA	zf-LYAR
TrH2_TrispH2_003528-RA	TACC_C
TrH2_TrispH2_003529-RA	LPMO_10 DOMON DOMON DOMON
TrH2_TrispH2_003530-RA	LPMO_10 DOMON DOMON
TrH2_TrispH2_003531-RA	7tm_1
TrH2_TrispH2_003532-RA	7tm_1
TrH2_TrispH2_003533-RA	7tm_1
TrH2_TrispH2_003534-RA	7tm_1
TrH2_TrispH2_003535-RA	TPR_8 TPR_12 TPR_12 TPR_12 TPR_10 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12
TrH2_TrispH2_003536-RA	TPR_12
TrH2_TrispH2_003537-RA	TPR_12
TrH2_TrispH2_003538-RA	TPR_12 TPR_12 TPR_12 TPR_8 TPR_12
TrH2_TrispH2_003539-RA	TPR_12 TPR_12 TPR_10 TPR_12 TPR_12 TPR_12 TPR_10
TrH2_TrispH2_003540-RA	TPR_12 TPR_10 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_10 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12
TrH2_TrispH2_003541-RA	TPR_12 TPR_12 TPR_12 TPR_12 TPR_8 TPR_10
TrH2_TrispH2_003542-RA	TPR_12 TPR_10 TPR_12 TPR_12 TPR_7 TPR_8 TPR_12 TPR_12
TrH2_TrispH2_003543-RA	
TrH2_TrispH2_003544-RA	7tm_1
TrH2_TrispH2_003545-RA	
TrH2_TrispH2_003546-RA	HlyIII
TrH2_TrispH2_003547-RA	HlyIII
TrH2_TrispH2_003548-RA	
TrH2_TrispH2_003549-RA	NB-ARC
TrH2_TrispH2_003550-RA	APAF1_C
TrH2_TrispH2_003551-RA	
TrH2_TrispH2_003552-RA	7tm_2
TrH2_TrispH2_003553-RA	
TrH2_TrispH2_003554-RA	
TrH2_TrispH2_003555-RA	Hydrolase_6 Hydrolase_like
TrH2_TrispH2_003556-RA	RNF220 zf-C3HC4_2
TrH2_TrispH2_003557-RA	Glyco_transf_7N
TrH2_TrispH2_003558-RA	
TrH2_TrispH2_003559-RA	
TrH2_TrispH2_003560-RA	Death
TrH2_TrispH2_003561-RA	FAM53
TrH2_TrispH2_003562-RA	
TrH2_TrispH2_003563-RA	
TrH2_TrispH2_003564-RA	
TrH2_TrispH2_003565-RA	CLAMP
TrH2_TrispH2_003566-RA	UVR Cnd3
TrH2_TrispH2_003567-RA	C2
TrH2_TrispH2_003568-RA	FHA PP1_bind
TrH2_TrispH2_003569-RA	bZIP_2
TrH2_TrispH2_003570-RA	GDA1_CD39
TrH2_TrispH2_003571-RA	
TrH2_TrispH2_003572-RA	S1 S1 S1 S1 S1 Suf
TrH2_TrispH2_003573-RA	Aminotran_1_2
TrH2_TrispH2_003574-RA	ELFV_dehydrog_N ELFV_dehydrog
TrH2_TrispH2_003575-RA	
TrH2_TrispH2_003576-RA	Galactosyl_T
TrH2_TrispH2_003577-RA	
TrH2_TrispH2_003578-RA	T-box
TrH2_TrispH2_003579-RA	MFS_1
TrH2_TrispH2_003580-RA	TM2
TrH2_TrispH2_003581-RA	
TrH2_TrispH2_003582-RA	efThoc1
TrH2_TrispH2_003583-RA	DOMON DOMON
TrH2_TrispH2_003584-RA	Metalloenzyme iPGM_N
TrH2_TrispH2_003585-RA	ubiquitin NIF
TrH2_TrispH2_003586-RA	NB-ARC APAF1_C WD40 WD40 WD40
TrH2_TrispH2_003587-RA	NB-ARC APAF1_C WD40 WD40 WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_003588-RA	TPR_12
TrH2_TrispH2_003589-RA	TPR_12 TPR_12 TPR_12 Roc COR Death
TrH2_TrispH2_003590-RA	JmjC
TrH2_TrispH2_003591-RA	Peptidase_M17_N Peptidase_M17
TrH2_TrispH2_003592-RA	DHHC
TrH2_TrispH2_003593-RA	NAGidase
TrH2_TrispH2_003594-RA	NAGidase
TrH2_TrispH2_003595-RA	PIP49_C
TrH2_TrispH2_003596-RA	IBN_N
TrH2_TrispH2_003597-RA	
TrH2_TrispH2_003598-RA	TB2_DP1_HVA22
TrH2_TrispH2_003599-RA	Thg1 Thg1C
TrH2_TrispH2_003600-RA	Fes1
TrH2_TrispH2_003601-RA	7tm_1
TrH2_TrispH2_003602-RA	WD40
TrH2_TrispH2_003603-RA	Mito_carr Mito_carr Mito_carr
TrH2_TrispH2_003604-RA	HECT
TrH2_TrispH2_003605-RA	5_nucleotid
TrH2_TrispH2_003606-RA	7tm_1
TrH2_TrispH2_003607-RA	7tm_1
TrH2_TrispH2_003608-RA	Erf4
TrH2_TrispH2_003609-RA	FAA_hydrolase
TrH2_TrispH2_003610-RA	HDNR
TrH2_TrispH2_003611-RA	I-set I-set I-set
TrH2_TrispH2_003612-RA	FAA_hydrolase
TrH2_TrispH2_003613-RA	CoA_binding Ligase_CoA
TrH2_TrispH2_003614-RA	Slu7
TrH2_TrispH2_003615-RA	BORCS7
TrH2_TrispH2_003616-RA	
TrH2_TrispH2_003617-RA	Ala_racemase_N
TrH2_TrispH2_003618-RA	
TrH2_TrispH2_003619-RA	Lung_7-TM_R
TrH2_TrispH2_003620-RA	EF-hand_6 EF-hand_8
TrH2_TrispH2_003621-RA	Fumble
TrH2_TrispH2_003622-RA	PA14 CHGN
TrH2_TrispH2_003623-RA	
TrH2_TrispH2_003624-RA	PA14 CHGN
TrH2_TrispH2_003625-RA	
TrH2_TrispH2_003626-RA	CHGN
TrH2_TrispH2_003627-RA	CHGN
TrH2_TrispH2_003628-RA	Glyco_transf_7C
TrH2_TrispH2_003629-RA	CHGN
TrH2_TrispH2_003630-RA	PA14 CHGN
TrH2_TrispH2_003631-RA	CHGN
TrH2_TrispH2_003632-RA	CHGN
TrH2_TrispH2_003633-RA	Phosphodiest Endonuclease_NS
TrH2_TrispH2_003634-RA	Phosphodiest Endonuclease_NS
TrH2_TrispH2_003635-RA	TPR_8 TPR_12 TPR_12 TPR_12 TPR_8 TPR_12 TPR_8 TPR_12 TPR_8 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_8
TrH2_TrispH2_003636-RA	Phosphodiest Endonuclease_NS
TrH2_TrispH2_003637-RA	Phosphodiest Endonuclease_NS
TrH2_TrispH2_003638-RA	Tctex-1
TrH2_TrispH2_003639-RA	U3snoRNP10 BP28CT
TrH2_TrispH2_003640-RA	DUF974
TrH2_TrispH2_003641-RA	Cys_Met_Meta_PP
TrH2_TrispH2_003642-RA	CLP_protease
TrH2_TrispH2_003643-RA	
TrH2_TrispH2_003644-RA	Carn_acyltransf
TrH2_TrispH2_003645-RA	TauD
TrH2_TrispH2_003646-RA	
TrH2_TrispH2_003647-RA	RRM_1 RRM_1
TrH2_TrispH2_003648-RA	Arf
TrH2_TrispH2_003649-RA	SGTA_dimer TPR_11 TPR_2
TrH2_TrispH2_003650-RA	STIL_N
TrH2_TrispH2_003651-RA	Calreticulin Calreticulin
TrH2_TrispH2_003652-RA	DUF4614
TrH2_TrispH2_003653-RA	PID
TrH2_TrispH2_003654-RA	TBCC_N TBCC
TrH2_TrispH2_003655-RA	
TrH2_TrispH2_003656-RA	C1_1 SAM_2 C1_1 RhoGAP SH2 PI3K_P85_iSH2 SH2
