TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_46	6.4690847	16.118872
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_43	9.810935	-11.523961
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_152	7.374664	7.769117
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_11	-10.294954	4.514079
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_30	-12.319503	3.6195505
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_115	-0.6106627	0.95582354
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_103	-0.37000057	2.5090754
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_25	-11.755412	4.3187504
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_111	0.25751215	0.8069892
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_10	-10.623969	4.527216
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_94	-1.5694612	2.0295122
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_187	3.533742	12.246453
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_173	1.5155644	12.378856
unknown_2.2	darkolivegreen3	27	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_49	8.83701	5.5058618
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_128	6.398648	3.7693894
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_35	-12.670179	3.8338509
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_206	-9.305273	-4.0495224
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_142	7.8473253	9.233427
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_136	7.8988156	9.5592165
epithelia_ventral	orchid1	32	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_151	6.7372847	9.682864
peptidergic_progenitors	blueviolet	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_194	7.6569653	9.483027
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_116	-0.6542237	1.9711956
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_147	7.550189	7.9065137
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_134	6.9642334	9.763361
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.3423688	10.854201
epithelia_ventral	orchid1	32	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_152	8.085249	7.9638033
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_184	1.5183296	12.695011
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_122	8.951914	6.2673163
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_167	1.7086718	10.291291
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_141	8.301678	9.450098
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_103	-0.48253208	2.7354712
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_11	-10.33892	4.3821025
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_31	-12.126096	3.70407
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_156	7.009071	9.941375
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_102	-0.6225154	2.6421757
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_137	9.27541	7.1029944
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_84	13.385873	-1.3529319
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_53	8.103762	13.274509
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_165	2.0495374	10.743436
peptidergic_mu_like	cyan3	42	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_215	5.4850163	-6.951169
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_142	7.625608	9.683201
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_13	-10.433061	4.408733
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_182	3.5292583	12.815857
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_35	-12.608498	3.9466567
trans_epithelia_dorsal_ventral	gray95	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_162	3.8342135	13.009877
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_146	8.047798	7.8099356
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_46	6.4746957	16.109062
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_45	9.756193	-11.610224
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_114	-0.1466456	0.5382556
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_26	-11.361414	4.541774
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_109	-1.0094144	2.6456099
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_55	8.136381	13.22629
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_141	7.8549705	9.574192
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_146	8.021335	7.8162413
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_74	13.805948	-2.8993323
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_25	-12.099531	4.0643687
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_53	8.0725	13.205193
peptidergic_alpha	dodgerblue1	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_195	11.398539	19.397295
gland_1	darkorange3	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_107	-1.1014963	2.5072174
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_181	3.7220051	12.832114
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_197	9.376502	23.223797
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_31	-11.838899	4.2704144
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_187	3.773827	12.643959
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_182	3.4168882	12.086329
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_103	-0.6876972	2.8171074
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_143	8.366643	9.239048
unknown_2.2	darkolivegreen3	40	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_47	10.416571	4.6606565
peptidergic_kappa	deepskyblue3	39	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_212	-2.092359	10.559469
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_133	4.6824474	6.7538767
peptidergic_eta	royalblue1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_204	-3.6218102	13.885115
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_165	1.8028412	10.55602
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_21	-12.030577	4.03171
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_28	-12.079471	3.9734292
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_110	0.67875755	1.8209308
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_20	-10.601175	4.0074134
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_156	6.5456414	9.880121
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_17	-10.354709	4.32659
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_43	9.6758	-11.550378
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_43	9.689984	-11.589439
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_65	13.380517	-3.1907005
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_145	7.5138383	8.661445
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_112	0.10327605	0.9968214
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_17	-10.273646	4.487642
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_116	-0.42782518	2.4759147
epithelia_ventral	orchid1	32	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_151	7.3699894	9.421133
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_129	7.8715644	5.8155427
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_12	-10.385256	4.4250264
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_90	12.862141	-2.1349027
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_126	6.484602	3.9517612
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_166	1.6153678	10.238084
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_140	7.272128	8.848744
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_30	-11.618827	4.4766555
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_184	1.3459476	12.8028755
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_206	-9.296286	-4.0608296
peptidergic_alpha	dodgerblue1	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_195	11.353253	19.359657
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_94	-1.8420479	1.4576609
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_132	6.395612	3.47837
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_46	6.4711537	16.11811
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	6.1299863	9.547729
trans_fibre_epithelia	gray85	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	13.854439	-2.8258846
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_192	3.4027538	12.117751
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_94	-1.8595952	1.4979736
peptidergic_gamma	skyblue1	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_198	8.863408	9.334379
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_20	-10.704249	4.184846
epithelia_dorsal	mediumorchid3	32	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_186	6.536029	10.33427
unknown_2.2	darkolivegreen3	27	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_50	8.987897	5.3834085
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	12.467026	-1.7614303
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_192	1.4887145	12.565657
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_102	0.07497167	1.5970478
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_97	-0.60685855	0.56205696
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_19	-11.591538	4.4623966
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_147	7.6403556	8.011933
peptidergic_alpha	dodgerblue1	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_195	11.361516	19.371222
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_128	6.350339	3.752139
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_23	-11.003827	4.115251
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	13.800641	-2.8918934
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_180	3.455456	12.913035
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_173	1.6206541	12.563514
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_12	-10.341009	4.4512177
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_125	8.53631	6.8897996
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_126	6.313201	3.665492
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_132	7.693859	-4.4209514
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_110	0.48985785	1.3374896
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_24	-11.4605875	4.455751
peptidergic_eta	royalblue1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_204	-3.6005626	13.828907
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_141	7.8094406	9.282279
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_97	-1.8893303	1.4922086
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_29	-11.93744	4.008982
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_33	-12.742728	3.6299832
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_33	-12.710172	3.7418826
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_55	8.209389	13.362142
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_41	9.673179	-11.658961
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_206	-9.358791	-4.138719
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_54	8.074595	12.869522
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_148	6.74049	6.9263606
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_163	6.4323454	9.97749
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_26	-12.060558	4.2526736
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_135	7.254317	7.780071
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_20	-10.602612	4.037138
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	6.1648273	9.388814
peptidergic_kappa	deepskyblue3	39	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_212	-2.0915482	10.561609
peptidergic_progenitors	blueviolet	35	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_194	9.537663	3.9578328
peptidergic_iota_like	deepskyblue1	56	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_209	17.987175	17.709135
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_174	3.0187786	12.277016
peptidergic_mu_like	cyan3	42	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_215	-0.4801033	2.7603514
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_110	0.5192495	2.1240664
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_54	8.02949	12.701351
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_30	-12.474063	3.5612528
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_129	6.718849	4.1789846
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_191	1.7240804	12.750125
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_136	7.7507043	9.496013
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_15	-10.46158	4.280414
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_45	9.953155	-11.7242
peptidergic_epsilon	steelblue1	57	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_201	-9.8325815	-8.497085
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_95	-1.7337056	1.7165135
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_11	-11.27511	4.0608196
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_14	-10.3123665	4.3966417
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_132	6.3826118	3.484322
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_146	7.7109094	6.5809574
unknown_1	darkolivegreen2	15	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_43	9.771208	-11.574391
peptidergic_eta	royalblue1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_204	-3.5794833	13.911826
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_96	-1.7708653	1.4842639
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_31	-12.309089	3.5787394
peptidergic_kappa	deepskyblue3	43	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_211	1.3084228	-5.8713274
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_186	3.4677725	12.903612
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_11	-10.341068	4.4668965
epithelia_ventral	orchid1	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_131	-1.8463141	1.338925
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_127	8.156531	7.486296
fibre	chartreuse3	25	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_73	13.74267	-2.219283
trans_lipophil_1_gland	gray75	19	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_38	0.18990102	0.64112794
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_183	1.5258967	12.794937
peptidergic_eta	royalblue1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_204	-1.774445	-8.135402
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_55	8.175823	13.2074585
unknown_2.4	darkolivegreen3	18	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_55	8.111338	13.294837
unknown_2.2	darkolivegreen3	27	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_49	8.869802	5.472219
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_31	-12.020345	3.8122063
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_27	-12.000659	4.2834272
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_133	4.67789	6.8543344
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-11.773262	3.5698242
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_17	-10.333325	4.457332
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_25	-12.002995	4.0475655
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_137	7.855219	9.026196
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_137	7.8711095	9.177746
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_24	-12.015349	4.4184537
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_107	-1.0773709	2.6463242
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_141	7.89096	9.459758
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_29	-11.722656	4.0970297
epithelia_unknown_1	plum3	55	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_130	4.51202	5.4685864
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_26	-12.279036	4.0287623
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_181	3.491334	12.634207
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_131	6.3904223	3.7464573
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_118	-0.7822384	0.97735465
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_137	7.6866283	9.343641
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	1.9501071	10.353744
unknown_2.2	darkolivegreen3	40	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_47	10.212178	4.7238073
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_46	6.444226	16.15639
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_122	7.303379	6.229753
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_106	-0.6670794	2.6777444
unknown_2.2	darkolivegreen3	40	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_47	9.594126	5.0103235
unknown_2.4	darkolivegreen3	29	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_57	8.796324	13.545344
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_29	-12.078993	4.006806
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_102	-0.42036322	2.5110662
epithelia_gland_like	orange	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_128	6.60407	4.1497693
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_188	1.6503975	12.700375
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_115	-0.57845646	0.92756736
unknown_2.2	darkolivegreen3	27	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_49	8.919569	5.4126663
epithelia_gland_like	orange	12	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_129	8.316376	7.221512
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_90	13.0350685	-1.4184031
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_148	6.733517	6.9256964
peptidergic_eta	royalblue1	35	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_203	2.3989365	-7.922957
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_111	0.14130218	1.4399049
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_131	7.0183105	8.3586235
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_165	1.8855989	11.331001
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_86	13.29716	-1.2881082
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_135	7.0697236	9.410295
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_30	-11.802058	3.9299848
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_145	7.2896523	9.632712
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_25	-12.039229	4.139891
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_112	0.04633364	0.9785136
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_34	-12.692853	3.721219
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_139	8.222429	9.473206
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_110	-0.15884991	2.3809507
epithelia_ventral	orchid1	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_135	7.505128	8.381112
epithelia_dorsal	mediumorchid3	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_182	6.712229	9.321683
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_182	3.4895406	12.266747
peptidergic_iota	deepskyblue1	26	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_206	-9.477819	-4.1131973
unknown_2.3	darkolivegreen3	29	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_51	9.351446	13.446082
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_133	4.728277	6.7860136
gland_1	darkorange3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_116	-0.5327006	1.8502663
unknown_2.2	darkolivegreen3	27	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_50	9.00561	5.3262877
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_193	1.6083965	12.764178
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_165	1.545894	12.43661
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_192	1.5956378	12.577867
peptidergic_mu	cyan3	45	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_214	-4.9805837	-11.489031
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_25	-12.203336	3.7592926
fibre	chartreuse3	4	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_90	12.98866	-1.6933619
epithelia_ventral	orchid1	32	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_150	7.0009265	7.1543417
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_131	6.3255086	3.7011948
