Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	-3.688741	2.9479604
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	-12.766533	0.7248146
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.3241005	5.172876
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_37	-0.46863613	16.776861
peptidergic_alpha	dodgerblue1	26	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_165	20.65608	10.125066
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.5549827	-3.8353586
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	11.487445	2.6478298
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-12.3358755	0.45217803
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	-12.736507	0.4751345
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-12.996925	-0.14346202
peptidergic_zeta	steelblue3	30	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_173	-10.1468315	8.907693
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_154	7.2005997	11.451251
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.406434	23.407038
trans_epithelia_dorsal_ventral	gray95	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_141	7.619868	10.227571
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.4917355	-3.0676496
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.5321894	-2.2891538
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_148	7.968574	9.64917
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	8.932718	3.290111
peptidergic_alpha	dodgerblue1	26	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_166	21.021624	10.3234415
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	-3.712406	2.917914
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.687782	-3.9083223
peptidergic_theta	royalblue3	47	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_176	9.716688	-7.6726255
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-11.079277	0.124602556
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_178	-8.05557	13.894517
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_175	4.777213	-8.275595
peptidergic_epsilon	steelblue1	33	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_171	15.635868	11.077133
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-11.769604	0.1046053
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.686014	0.76315606
unknown_2.1	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_26	9.148982	-10.86827
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	10.030671	6.3605113
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	11.546579	2.5437334
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.593066	5.934931
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.253522	5.560785
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	-10.366543	0.63155407
peptidergic_delta	skyblue3	48	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_170	9.489992	23.320734
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.645088	-3.8897998
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_127	9.614649	4.7488966
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_136	9.419087	6.14468
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	8.549042	3.3585668
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.801699	6.984037
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	12.298615	3.1550436
trans_epithelia_dorsal_ventral	gray95	25	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_141	8.783325	8.624704
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.522718	1.893753
epithelia_unknown_3	plum3	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	7.2790565	8.247939
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_39	0.47862244	16.839962
peptidergic_zeta	steelblue3	30	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_173	-10.125942	8.930161
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	6.9803343	11.180081
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.5885696	23.602827
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	8.557035	3.5127807
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	13.108606	3.266204
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	11.938495	3.6510549
trans_epithelia_dorsal_ventral	gray95	25	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_141	9.867264	6.934643
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	7.321689	8.207884
peptidergic_omicron	lightskyblue	37	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_189	14.225403	-6.4722705
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_111	8.480768	5.5669203
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_127	9.217221	3.5640836
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	12.891514	3.3225896
trans_epithelia_dorsal_ventral	gray95	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_142	8.087032	9.2403965
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.162424	13.835963
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	13.119558	18.870707
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-13.095539	0.33155137
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-13.11321	0.21082522
peptidergic_omicron	lightskyblue	37	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_189	14.248338	-6.4828
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	7.6633534	7.8768034
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.00152	13.721821
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	9.500235	5.713991
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.131864	13.903039
trans_gland_epithelia	gray45	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_78	8.1303	2.6015115
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.9068568	-3.92207
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_15	3.5997968	-3.753656
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	12.805433	3.393068
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_129	9.837747	4.666702
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.66191	5.613771
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	7.21868	11.180078
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.3538833	23.359953
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	9.472712	5.304749
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	-11.020949	0.09645309
trans_epithelia_dorsal_ventral	gray95	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_135	9.475977	6.9043264
lipophil	khaki2	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	13.5414	19.362112
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_130	9.949619	5.172377
epithelia_unknown_2	plum3	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_99	9.52044	3.054312
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_33	-0.8138963	15.852144
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_162	8.788583	9.40936
peptidergic_progenitors	blueviolet	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_163	-4.371846	5.8411107
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	7.1661587	11.245963
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-12.218622	-0.7028448
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.74269	-3.870169
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.4922504	23.51494
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.6820023	-3.8060417
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_49	-12.852813	0.51562846
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.259815	-3.9081395
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_129	10.000888	5.104464
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.136892	13.904626
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	-12.304767	0.6280512
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	11.57121	1.9693294
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_126	9.925824	6.5318513
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-13.006599	0.58925503
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_28	4.3786497	23.383215
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	9.746495	6.0178905
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	4.1439204	-3.775772
peptidergic_gamma	skyblue1	35	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_168	22.237131	4.3446784
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	-12.588787	-0.35376152
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_92	11.5682335	1.9862
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.463617	1.9150318
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.8582292	-3.7504222
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-11.458361	-0.24380475
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.56569	0.24607028
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_129	9.999428	5.227062
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.9370918	-3.8510566
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	13.507009	3.3080702
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_1	4.018351	-2.0500367
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_106	13.411949	3.3133025
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.518035	5.7756352
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-13.097704	0.36905208
trans_epithelia_dorsal_ventral	gray95	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_135	9.742599	5.269953
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.803956	-3.8536782
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.632422	0.23924974
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.916667	9.629121
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_11	4.5727544	-1.8672241
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.5301108	-3.7071455
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	9.883436	6.7543025
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_31	-0.3006613	15.536999
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	13.019143	3.322192
fibre	chartreuse3	31	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_31	-1.4932917	15.9555645
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	-3.6170485	2.990625
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_99	9.200779	3.1713846
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.959566	9.461123
epithelia_unknown_3	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	11.523142	2.1073914
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_178	-7.996692	13.902746
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	13.082324	18.829868
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	9.371382	5.1618066
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.626831	4.340457
lipophil	khaki2	31	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	-1.6457351	16.037167
fibre	chartreuse3	31	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_29	-1.6184734	16.194132
peptidergic_progenitors	blueviolet	46	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_164	4.677284	-7.702403
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_99	10.765375	2.491601
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.513195	-0.026377663
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.229567	-3.5195389
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	-11.34716	0.9910199
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.602143	6.1273646
peptidergic_delta	skyblue3	45	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_170	16.581898	-8.844958
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	4.0230646	-3.7353833
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.251192	4.7038774
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.8017414	-3.889398
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.552625	5.7783947
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	-3.584151	3.0284114
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_106	13.412219	3.321017
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_106	13.489605	3.3022177
trans_epithelia_dorsal_ventral	gray95	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_136	9.002344	7.907962
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_81	8.550856	3.1718934
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_111	8.42374	6.44477
epithelia_ventral	orchid1	29	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_108	10.016084	3.6728952
trans_gland_epithelia	gray45	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_78	-11.530876	0.43451294
epithelia_unknown_2	plum3	16	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.552948	4.443757
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	13.107059	18.856916
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.5759876	-3.8488522
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	9.877522	6.8366566
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	9.84128	5.352379
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.38092	4.72947
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	11.351639	1.9338112
peptidergic_delta	skyblue3	48	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_170	9.491712	23.321651
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_138	9.794272	6.838411
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_37	-1.066021	16.54789
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	8.659892	3.6725454
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.615803	0.6773771
epithelia_dorsal	mediumorchid3	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_157	8.749032	8.750937
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-13.031874	0.48313844
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.528313	2.088098
peptidergic_beta	dodgerblue3	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	13.669776	19.500626
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.138871	5.245848
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.52636	4.756512
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_157	8.758357	9.423966
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-11.346658	-0.15403551
peptidergic_kappa	deepskyblue3	38	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_180	-4.866138	0.41678938
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	-13.105404	0.15542541
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_162	8.543826	9.144515
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.405574	1.9780217
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_104	12.79012	3.3984814
peptidergic_progenitors	blueviolet	46	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_164	4.65198	-7.709798
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_104	12.872018	3.3725212
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.624287	5.2657256
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.830885	9.589601
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.473445	5.812448
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	13.0804	3.2815683
peptidergic_alpha	dodgerblue1	26	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_166	21.048763	10.349975
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.677859	6.0912976
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.300436	-1.6061873
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-13.170825	0.5983904
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.554383	-3.1109984
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_43	-13.132899	0.36534035
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.059265	13.885435
unknown_2.1	darkolivegreen3	40	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_26	9.32554	-11.07966
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_52	-13.224402	0.44972485
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_108	10.5838175	3.5527313
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	11.333647	3.2337034
epithelia_unknown_1	plum3	43	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_91	-7.6934133	20.538916
peptidergic_mu_like	cyan3	39	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_187	4.994844	-13.562487
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_111	8.421483	5.694253
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.5371103	23.551264
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.040612	-2.1255913
gland_1	darkorange3	34	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_70	-11.913469	-0.5944023
peptidergic_lambda	cyan2	51	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_182	7.3668604	-9.085512
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.6764436	-3.7759602
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_107	13.380096	3.2864428
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	13.234509	3.3099375
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.802395	9.537372
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	12.817202	3.3835056
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	4.827405	-2.2043138
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_188	19.141426	-3.4249427
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_127	9.325867	3.5507605
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.9359412	-3.5514524
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_127	9.344127	3.5606325
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.199281	13.86779
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.502655	2.0429482
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.73938	6.5553565
peptidergic_nu	cyan4	33	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_188	14.845737	-10.751807
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_130	9.934741	5.117464
trans_gland_epithelia	gray45	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_78	11.448898	2.5863795
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	4.0012727	-2.7540543
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	8.234737	2.9248285
peptidergic_nu	cyan4	33	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_188	14.851857	-10.752301
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.5448096	-3.9520948
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_31	-0.5799699	15.495864
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	7.187753	11.416207
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.047445	13.78395
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.600604	-0.12794252
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.502627	1.9401661
peptidergic_gamma	skyblue1	35	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_168	22.219307	4.3266373
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.829171	6.1468043
epithelia_unknown_2	plum3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_94	-10.909314	0.16159256
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	12.863194	3.3522816
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_159	8.955449	9.384509
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.8635094	-3.8272545
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.127017	0.35482273
peptidergic_nu	cyan4	33	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_188	14.879839	-10.78094
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.853538	9.441871
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.331665	1.8429966
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_129	9.985542	5.4202504
